gene_id,meta_log2FC,meta_SE,meta_z,meta_pvalue,tau2,I2,n_datasets,n_up,n_down,meta_padj,frac_concordant,replicated
782,-0.934690283613861,0.326035278561288,-2.86683787024035,0.00414595347269621,3.46812382362347e-06,5.68274144966426e-06,3,0,3,0.172644327313718,1,TRUE
64098,52.992145789015,18.4851186281918,2.86674631929039,0.00414715291396619,0,0,2,2,0,0.172644327313718,1,TRUE
546,-0.759166633672199,0.264856795201189,-2.86632870074383,0.00415262827655335,1.78671911553483e-07,4.26035782950718e-08,3,1,2,0.172644327313718,0.666666666666667,TRUE
120425,74.6468481617025,26.0502676797884,2.86549255766837,0.00416361059682245,0,0,2,2,0,0.172769937231818,1,TRUE
25886,10.9730735972761,3.83653179724496,2.8601544773214,0.00423434692852671,0,0,2,2,0,0.175140788179773,1,TRUE
1188,-0.798987045947557,0.279369584497846,-2.85996432784084,0.00423688663691737,6.34734270630933e-07,4.08457208081846e-06,3,1,2,0.175140788179773,0.666666666666667,TRUE
100316868,-9.52436835511303,3.33165950905452,-2.85874601808151,0.00425319165343893,0,0,2,0,2,0.175480542324965,1,TRUE
51250,-42.4194584586041,14.8438400040766,-2.85771461070412,0.00426703975614433,0,0,2,0,2,0.175717830716972,1,TRUE
51059,-12.1007454081009,4.23988491634882,-2.8540268537575,0.00431688821405477,0,0,2,0,2,0.176718468540859,1,TRUE
79931,1.6400093829079,0.574658866361364,2.85388337135063,0.0043188383346,0,0,3,3,0,0.176718468540859,1,TRUE
8905,0.467658145959631,0.163911810289045,2.8531082972908,0.00432938646017741,2.7892880075134e-06,6.33937083131591e-09,3,2,1,0.176718468540859,0.666666666666667,TRUE
51284,1.22155420791833,0.42821201150214,2.85268552751054,0.00433514985154366,4.18856228556985e-07,6.75822043330872e-08,3,3,0,0.176718468540859,1,TRUE
520,0.509277531433051,0.178529306214443,2.85262706852915,0.00433594733834582,0,0,3,2,1,0.176718468540859,0.666666666666667,TRUE
54991,-0.666707655238294,0.23378874713981,-2.85175254752356,0.00434789328272769,0,0,3,2,1,0.176718468540859,0.666666666666667,TRUE
363,-0.771808261196116,0.270646585342697,-2.85171992921632,0.00434833942497552,6.10645421707828e-06,2.36728756376181e-05,3,1,2,0.176718468540859,0.666666666666667,TRUE
283237,31.8481459608498,11.1781463325607,2.84914376796802,0.00438370664621552,0,0,2,2,0,0.177822806796578,1,TRUE
23435,0.250605668727411,0.0880184344884584,2.84719525158417,0.00441063011972955,0,0,3,3,0,0.178581147123826,1,TRUE
10152,-0.523359090993044,0.183868629017902,-2.84637512004339,0.00442200697033675,0,0,3,0,3,0.178708371080537,1,TRUE
55719,0.520031426809409,0.182774914963915,2.84520130627378,0.00443833636988839,7.22176872899246e-07,5.73109568122651e-07,3,2,1,0.179034899441111,0.666666666666667,TRUE
26145,-1.33028586433187,0.467826559434851,-2.84354497944473,0.00446147116684728,2.45131525424294e-06,8.36916547583953e-06,3,1,2,0.179634224977587,0.666666666666667,TRUE
115948,-15.1643717417573,5.33559162494858,-2.84211626520489,0.00448151449748435,0,0,2,0,2,0.179891638493818,1,TRUE
