,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
10581,-0.3210233715732675,0.06228424617767381,-5.1541664429478224,2.547615905511313e-07,1.6712932477163478e-06,3,3,1.0,True
4751,0.25450649216091137,0.049379040990055245,5.154140037109429,2.5479748765184513e-07,1.6712932477163478e-06,4,4,1.0,True
10791,-0.17851106662232302,0.03464013576376698,-5.153301587490967,2.559398519535742e-07,1.6780704579045644e-06,4,3,0.75,True
29115,-0.11243965026533645,0.021821202717127505,-5.152770528871094,2.566659620182236e-07,1.6821138815132941e-06,4,4,1.0,True
9937,-0.1819743480732814,0.03532591825247503,-5.151298453806838,2.5868913047492715e-07,1.694650780167024e-06,4,4,1.0,True
84897,-0.10614526007239698,0.020617230617852655,-5.148376231504381,2.6275106907438e-07,1.7205271239431823e-06,4,4,1.0,True
57555,0.1564450043295888,0.030402240200044648,5.1458380468081115,2.6632912364405815e-07,1.743214251182373e-06,4,4,1.0,True
115761,-0.21735098696328004,0.042265712311524546,-5.142489622824011,2.7112142191951126e-07,1.7738263242606323e-06,4,4,1.0,True
476,-0.21182199163300683,0.041196245983484,-5.141778979519843,2.7214916220861605e-07,1.7797930110410343e-06,4,4,1.0,True
3880,0.19634268346796402,0.03820299556695284,5.139457797854169,2.755323642106208e-07,1.8011522532900913e-06,4,4,1.0,True
2280,-0.22280391115874718,0.04335960347797145,-5.138513576858266,2.7692018975734827e-07,1.8094551285674586e-06,3,3,1.0,True
8498,-0.07401215579605226,0.014404099696680491,-5.138270169923136,2.77279044761461e-07,1.8110302944806553e-06,4,3,0.75,True
54210,-0.4165034383656447,0.0810902116694682,-5.136297338368708,2.8020421004361056e-07,1.8285822281071785e-06,4,3,0.75,True
1687,0.17284539715745162,0.03365150969298736,5.136334112031559,2.8014941326006354e-07,1.8285822281071785e-06,4,4,1.0,True
5104,0.4236077824190924,0.0824901256832397,5.135254418762036,2.8176259112186637e-07,1.8379719297830696e-06,3,2,0.6666666666666666,True
51290,0.14838867785727558,0.02889944288539211,5.134655309645503,2.8266159073309517e-07,1.8430542652762248e-06,4,3,0.75,True
257407,-0.29109005179656,0.05669870053324064,-5.133981009421957,2.8367673259932575e-07,1.848889259734902e-06,3,2,0.6666666666666666,True
54436,0.16360358428824345,0.03186914126469172,5.1336050422388455,2.842442695163394e-07,1.851803238904118e-06,4,4,1.0,True
25977,-0.13413960363871297,0.02613618660946638,-5.132332640681727,2.8617315517294527e-07,1.8635799495061556e-06,4,4,1.0,True
83452,-0.15950031379187848,0.031078107748716086,-5.1322401956234875,2.863137879083044e-07,1.863706388268493e-06,4,3,0.75,True
284656,0.15638598458961278,0.030472909327441924,5.131967640804868,2.867288025219396e-07,1.8656180020206607e-06,4,4,1.0,True
151790,0.32925686451722225,0.06417610580603764,5.130521093198616,2.8894117795093787e-07,1.8792176865463917e-06,4,4,1.0,True
4854,0.14340636598258827,0.02796013219981091,5.128958795965854,2.913490975875748e-07,1.894077114337828e-06,4,4,1.0,True
1396,0.29091580083112856,0.05673802564669034,5.127351498669894,2.938465929913278e-07,1.9095060723760205e-06,4,4,1.0,True
3034,-0.26872001861568856,0.052416137732127714,-5.126665760628534,2.9491840573546736e-07,1.9156613807278455e-06,4,3,0.75,True
140807,-0.3092518599764553,0.0603268010400143,-5.126276458307991,2.955285665557723e-07,1.918814067058699e-06,3,3,1.0,True
9255,-0.09979288985776683,0.019470757221985345,-5.125270102237524,2.971115009993622e-07,1.9282774706058226e-06,4,4,1.0,True
80758,0.16606532822925518,0.032408502591106995,5.124128390764468,2.9891725425811484e-07,1.9391783899656183e-06,4,4,1.0,True
29785,0.3507277095053105,0.06848074409116008,5.121552257645294,3.0303073339427885e-07,1.9650348063842418e-06,3,3,1.0,True
