entrez,log2FoldChange,pvalue,padj
326,-0.8554361380820303,0.005389952187491471,0.05522036992821722
327,0.5780197611526532,0.0005161933249936317,0.014620667186284594
328,-0.32148938051305187,0.0037161192533273065,0.0446635843160153
329,0.2972203819551513,0.0045366623510361736,0.049822793084346506
330,1.5255454226461582,4.876904101177228e-05,0.004450789242958488
331,0.25254488213080784,0.1690369583764003,0.4034112181108844
332,1.6648587555148877,0.002374576527984265,0.03497203487975768
333,-0.046944243206037406,0.7658037489663393,0.8869694338695846
334,-0.9969448391249784,2.384576372150895e-05,0.0030537652471631263
335,0.1934217223458301,0.534953584429603,0.7458155991894414
336,-0.6601826847664602,0.2689731448521319,0.5200007449887261
337,-0.20583897919501126,0.6772264773227907,0.838166686084376
338,-1.1131096920116583,0.043106967396457994,0.18572168493721453
339,0.3470387941648685,0.4337348528178118,0.6687632751339647
341,-0.7485219234090383,0.11901786582896084,0.33101286873024643
343,-0.3722972613456319,0.3249155687246714,0.575582149689798
345,-0.34207625645638906,0.23628668141850925,0.4835316486407054
347,-1.9912377238343328,0.012838539817080044,0.0894888148284839
348,-0.9819505672037252,0.04328007139785153,0.18610764781133263
350,0.747640084183546,0.08450044825841795,0.2715978533957034
351,-2.0063832403427106,3.867949442600335e-07,0.00041585206463390606
353,0.07682844668028821,0.4668232910562934,0.6962261166030915
354,-0.6931724060672031,0.007596657185666595,0.06612355940164404
355,1.2746606119994999,5.001834426047343e-05,0.004490935147251119
356,0.8425719849930333,0.005125733825024568,0.053622876442733544
357,0.12166861470998125,0.49527711474744335,0.7175255151106742
358,-0.3503920730094343,0.2405408346191214,0.4878022768308957
359,-0.3010193754210597,0.1241303181629005,0.33826536377937044
360,-0.9462243703063633,0.06581709680313165,0.23630358931395334
361,0.32220255742893933,0.22804380109457723,0.47557964789206225
362,-0.28746473553957186,0.4081505304959915,0.6487031577062895
363,-0.7749118526515315,0.004246722104383898,0.048124368344482214
366,1.3914598115210381,0.1077488770985224,0.31350460911001987
367,-1.5601200232368146,0.0003130562563129201,0.011090353830557708
369,0.017748399381982694,0.9097110290614572,0.9601569212217438
372,-0.07200589909481536,0.4452960951088248,0.6784173996519857
373,0.21705724545076865,0.4850611506368336,0.7098323779891352
374,-0.9499112647345074,0.12219994262142905,0.335549146202502
377,-0.7062067456012056,0.044115346880057506,0.18825352846496402
378,0.14352640753243584,0.3716494816177048,0.616547453758734
379,0.423008991195875,0.18310834176145116,0.422119095744922
381,0.096575012717377,0.516749740594225,0.733469295474942
382,-0.5670512547593614,0.03118738683635509,0.15327493182057797
383,-0.33514235353876654,0.3660688730905462,0.6116152582347335
384,-0.18774526680292247,0.3034153099846561,0.5543374837392786
387,-0.1967052913616314,0.0029780281910063585,0.03945897712284317
388,-0.8712597531557886,0.0050421934766339315,0.05304777962220675
