probe,log2FoldChange,pvalue,padj
200838_at,-0.07631416239370381,0.6631357052412822,0.8294676019162257
200839_s_at,-0.2130727873444851,0.235686289115942,0.4828795127225575
200840_at,-0.32960988977804995,0.12686868656397254,0.3421692507592907
200841_s_at,-2.6484723722195245,5.389102334712362e-05,0.004610794855909841
200842_s_at,0.0468795674779372,0.855639185652265,0.9346826599713101
200843_s_at,0.4426137620483708,9.087817777994482e-05,0.0061045500638331465
200844_s_at,-0.38682830481564956,0.023518684568794072,0.12904871909540466
200845_s_at,-0.5581870577459132,0.0005980212804667536,0.01597806737726699
200846_s_at,0.36299260800854505,0.02012831954304242,0.11735266137763908
200847_s_at,0.1313438394628097,0.302827712754801,0.553924636620853
200848_at,-0.40260748288189774,0.002151816482281025,0.03281925165959485
200849_s_at,-0.020320464321271103,0.8821200388129843,0.9471537042774408
200850_s_at,0.061878096935158666,0.46396734287847474,0.6932133767843002
200851_s_at,0.15056938705475353,0.04628605019993826,0.193434369205781
200852_x_at,0.010168518973538099,0.8860616670866832,0.9487800157468794
200853_at,0.3930181617352755,0.043544312474000146,0.18677819699560322
200854_at,0.47897446196366644,0.00021492916104903228,0.009299546593505993
200855_at,0.37932298461982583,0.0011827786952652922,0.024047315389230387
200856_x_at,0.0009533605248268628,0.9944772748159048,0.9974559071978578
200857_s_at,-0.00350118913152464,0.966187990306103,0.9863145634732621
200858_s_at,-0.5521997526263647,7.946743646945707e-05,0.005625555226689838
200859_x_at,0.11545294185387611,0.557526305120671,0.7604102158680239
200860_s_at,0.2890142888949985,0.0020597866126958486,0.03200008617737474
200861_at,0.11939117662662113,0.3395519782352754,0.5884000879552563
200862_at,-0.05140309429992129,0.7354058467929698,0.8706992909962487
