"","gene_id","log2FoldChange","stat","pvalue","padj","dataset"
"79652","79652",-1.768045,-7.76679463464135,4.54382534832549e-10,6.04859867796575e-08,"GSE53845"
"54756","54756",1.239755,7.76741515016228,4.53390657189002e-10,6.04859867796575e-08,"GSE53845"
"57669","57669",-1.2503725,-7.75587827674989,4.72193085964849e-10,6.2051014501791e-08,"GSE53845"
"4794","4794",1.2077475,7.7565440665368,4.71087000319245e-10,6.2051014501791e-08,"GSE53845"
"64856","64856",0.809185,7.75768316250702,4.69200639446406e-10,6.2051014501791e-08,"GSE53845"
"340371","340371",-0.952645000000001,-7.7504569164253,4.81297366095702e-10,6.28445605411586e-08,"GSE53845"
"2034","2034",-1.98124,-7.74731972502751,4.86646125846586e-10,6.33412417768572e-08,"GSE53845"
"653583","653583",0.929467500000001,7.74609369585646,4.88752644218449e-10,6.34141089017608e-08,"GSE53845"
"4325","4325",1.25411,7.7407723180623,4.98002356344908e-10,6.44103994010765e-08,"GSE53845"
"5793","5793",-0.895295000000001,-7.72663337952463,5.23442653407175e-10,6.71439387042093e-08,"GSE53845"
"3899","3899",-0.8212225,-7.7243367128814,5.27696649832176e-10,6.71911883326684e-08,"GSE53845"
"261729","261729",1.3034275,7.71818003454143,5.39272523097604e-10,6.84525493715225e-08,"GSE53845"
"2872","2872",-0.991510000000001,-7.71398133620141,5.4731298936908e-10,6.90456386588686e-08,"GSE53845"
"401115","401115",1.1080725,7.69393913300997,5.87385290523638e-10,7.34231613154547e-08,"GSE53845"
"80760","80760",1.3270875,7.68640405552308,6.03202227112968e-10,7.51710982116464e-08,"GSE53845"
"3787","3787",-0.5640275,-7.68438630270758,6.0750987489286e-10,7.54784996079008e-08,"GSE53845"
"197257","197257",-1.01922,-7.6677259264546,6.44279644491515e-10,7.93257219944508e-08,"GSE53845"
"219995","219995",-0.7501275,-7.66250411861723,6.56258321458929e-10,8.03181826263166e-08,"GSE53845"
"100423062","100423062",2.7623725,7.66012665898653,6.61786022687556e-10,8.07536515779458e-08,"GSE53845"
"59272","59272",-1.232865,-7.65703482961745,6.69044694061703e-10,8.13971289511271e-08,"GSE53845"
"9754","9754",-1.0941125,-7.65499714843768,6.73872219345131e-10,8.16583147746703e-08,"GSE53845"
"8445","8445",0.6334725,7.65361503926288,6.77166512765559e-10,8.16583147746703e-08,"GSE53845"
"994","994",-0.8247925,-7.65223066465595,6.80482423880017e-10,8.18175348360137e-08,"GSE53845"
"221184","221184",-0.6976925,-7.63751502816156,7.16754293628131e-10,8.56761692091935e-08,"GSE53845"
"25840","25840",-1.1400925,-7.638247417908,7.1490396802776e-10,8.56761692091935e-08,"GSE53845"
"28778","28778",2.32031,7.62811958112158,7.40922272542449e-10,8.83075964367453e-08,"GSE53845"
"9728","9728",-0.704917500000001,-7.60959791198429,7.90989745947186e-10,9.3459883526901e-08,"GSE53845"
"89122","89122",-0.6392825,-7.60809972979479,7.95185196528955e-10,9.36856122347332e-08,"GSE53845"
"81563","81563",-0.699865000000001,-7.59412505672448,8.35412020432855e-10,9.78625509649916e-08,"GSE53845"
"51071","51071",-0.5966775,-7.5929775873156,8.388045047413e-10,9.79800133743399e-08,"GSE53845"
