entrez_id,gene_id,log2FoldChange,stat,pvalue,padj,dataset
56253,56253,-0.32336516031746,-4.2479443121201,4.37445002793499e-05,0.0053847749835394,GSE38958
160518,160518,-0.254788961904762,-4.24638802722614,4.40080157895761e-05,0.0053867789214791,GSE38958
79991,79991,-0.238755622222222,-4.24419532843893,4.43818804811792e-05,0.005402192245385,GSE38958
54970,54970,-0.310261238095238,-4.23634497423802,4.57455770597033e-05,0.0055066554308111,GSE38958
84818,84818,0.103211387301587,4.23155417619228,4.65974738629671e-05,0.005509714728019,GSE38958
472,472,-0.344113801587301,-4.22773076661669,4.72882620772699e-05,0.005509714728019,GSE38958
5619,5619,0.194817722222222,4.22876218436507,4.71009497852129e-05,0.005509714728019,GSE38958
5469,5469,-0.224106717460318,-4.23182996314103,4.65480230434369e-05,0.005509714728019,GSE38958
7728,7728,-0.283266412698413,-4.22818702595671,4.72053142941921e-05,0.005509714728019,GSE38958
4189,4189,-0.174646493650794,-4.22149834229495,4.8435424196147e-05,0.0056133565020513,GSE38958
23368,23368,-0.142312093650794,-4.2190082154024,4.89011970329294e-05,0.0056373506928754,GSE38958
23411,23411,-0.197342525396826,-4.21594767442388,4.94795575566781e-05,0.005674003158131,GSE38958
10863,10863,-0.48211992063492,-4.21201765043352,5.02318637444862e-05,0.0057301143835856,GSE38958
583,583,-0.285612504761904,-4.20623435886878,5.1358933570297e-05,0.0058281689824459,GSE38958
84824,84824,-0.510993450793651,-4.19559210918001,5.34966773067758e-05,0.0060393036536789,GSE38958
7083,7083,0.156771757142857,4.19201091969567,5.4235055243115e-05,0.0060598635058307,GSE38958
22806,22806,-0.366770246031746,-4.18759482775462,5.51590467456773e-05,0.0061316597474225,GSE38958
6504,6504,-0.367606334920635,-4.18113737469486,5.65373966176714e-05,0.0062529786675422,GSE38958
54507,54507,0.204753473015872,4.17186543994796,5.85744201903569e-05,0.0063288682890951,GSE38958
1429,1429,-0.416973239682539,-4.16838011679808,5.93581944459629e-05,0.0063288682890951,GSE38958
3097,3097,-0.440417882539682,-4.16802099243396,5.94395230498703e-05,0.0063288682890951,GSE38958
27250,27250,-0.317934847619047,-4.17042979509397,5.8896055967357e-05,0.0063288682890951,GSE38958
9093,9093,-0.139437987301587,-4.1724917551737,5.84346316482275e-05,0.0063288682890951,GSE38958
1353,1353,-0.364249701587301,-4.16876991524944,5.9270040075871e-05,0.0063288682890951,GSE38958
55520,55520,-0.194394353968255,-4.16626891271081,5.98378404421517e-05,0.0063288682890951,GSE38958
546,546,-0.343487730158729,-4.16159528636009,6.09129030213406e-05,0.006411450874536,GSE38958
54674,54674,-0.691773547619048,-4.15875612512852,6.15750063862839e-05,0.0064191207614562,GSE38958
57697,57697,-0.225356773015873,-4.15951982372623,6.13962335323727e-05,0.0064191207614562,GSE38958
79884,79884,-0.128910396825397,-4.15446981998504,6.25876798593948e-05,0.0064886853435237,GSE38958
64776,64776,-0.221472412698413,-4.15342088567701,6.28379202994081e-05,0.0064886853435237,GSE38958
10150,10150,-0.237406584126984,-4.15022418367296,6.36064764280123e-05,0.0065370656057242,GSE38958
22984,22984,-0.191293152380952,-4.14876871522456,6.39593807669292e-05,0.0065424741227692,GSE38958
594,594,-0.284523219047619,-4.14641089326861,6.45350637916372e-05,0.0065638100638175,GSE38958
6709,6709,-0.221707492063492,-4.14545251459545,6.47704774977411e-05,0.0065638100638175,GSE38958
55958,55958,-0.225794171428572,-4.14345803497831,6.52630385611717e-05,0.0065831068711611,GSE38958
131118,131118,-0.327818007936508,-4.13039092920534,6.85800669066578e-05,0.0067892656216804,GSE38958
3003,3003,-0.703318858730158,-4.12973393373505,6.87510384832899e-05,0.0067892656216804,GSE38958
4012,4012,-0.171725226984127,-4.12929739405758,6.88648660910305e-05,0.0067892656216804,GSE38958
146434,146434,-0.197226153968254,-4.13052812649567,6.854441517728e-05,0.0067892656216804,GSE38958
157378,157378,-0.163671907936508,-4.12693782688394,6.94832556779983e-05,0.0068081183304955,GSE38958
2971,2971,-0.250622877777778,-4.12409953552884,7.02341595980625e-05,0.0068081183304955,GSE38958
4353,4353,0.518121284126984,4.12444678483228,7.01418748839949e-05,0.0068081183304955,GSE38958
29105,29105,-0.239811095238096,-4.12093571635388,7.10803498830139e-05,0.0068266335212641,GSE38958
123283,123283,-0.209325998412698,-4.11741658228826,7.203304652183e-05,0.006854179140469,GSE38958
25914,25914,-0.275080968253968,-4.11739114505066,7.20399771969616e-05,0.006854179140469,GSE38958
3841,3841,-0.406812382539682,-4.1061946029787,7.515343890891e-05,0.0068682042760658,GSE38958
79695,79695,-0.163605173015873,-4.10630483266691,7.51221680202098e-05,0.0068682042760658,GSE38958
81571,81571,-0.364947411111111,-4.10841906517211,7.45247911737569e-05,0.0068682042760658,GSE38958
91801,91801,-0.270812104761905,-4.11055115693906,7.39269777377174e-05,0.0068682042760658,GSE38958
136,136,0.164177557142857,4.10553903316137,7.5339674223414e-05,0.0068682042760658,GSE38958
8237,8237,-0.189308487301587,-4.11415000149261,7.29283110955424e-05,0.0068682042760658,GSE38958
340547,340547,-0.416867165079365,-4.10809223256615,7.46168395273877e-05,0.0068682042760658,GSE38958
79596,79596,-0.294300282539682,-4.10204560250757,7.63395709613579e-05,0.0069016040336351,GSE38958
56948,56948,-0.166046577777778,-4.10272885603047,7.61430142927455e-05,0.0069016040336351,GSE38958
4037,4037,0.197148403174603,4.09993192960085,7.69507087457556e-05,0.0069281076122005,GSE38958
56925,56925,-0.231246039682539,-4.09744495835454,7.76757806776879e-05,0.0069360652024814,GSE38958
90203,90203,0.160802358730158,4.09789557263273,7.75439213962655e-05,0.0069360652024814,GSE38958
90102,90102,-0.25301863015873,-4.09313830146655,7.89468794348876e-05,0.0069657935093649,GSE38958
2049,2049,0.118428266666666,4.0914890065545,7.94389193163055e-05,0.0069657935093649,GSE38958
79896,79896,-0.203297588888889,-4.08986278584955,7.9926949575052e-05,0.0069657935093649,GSE38958
9118,9118,0.141200985714286,4.09065734139491,7.96881451927303e-05,0.0069657935093649,GSE38958
54956,54956,-0.164750276190476,-4.09409679420959,7.86622711652874e-05,0.0069657935093649,GSE38958
