gene,score_dn,adj_p_dn,score_up,adj_p_up,reversal_score
PSG11,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
ORM1,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
CCR6,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
MXRA7,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
CXCL3,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
MYBPHL,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
IL1RN,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
STAT6,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
LEFTY1,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
SIK2,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
AIRE,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
CMTM7,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
FAM47E,35.96878960319749,0.0016209275223648388,65.14934481935528,6.12915892724042e-05,48.40808895828831
ME2,35.96878960319749,0.0016209275223648388,65.14934481935528,6.12915892724042e-05,48.40808895828831
MAP2,35.68594204325646,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.398382684254905
RAB3IP,35.68594204325646,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.398382684254905
SERPINE1,35.68594204325646,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.398382684254905
USP18,65.63938941592905,0.00012443682497553899,35.68594204325646,0.0011002477117794851,48.398382684254905
DYRK1A,35.68594204325646,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.398382684254905
LRRK1,65.63938941592905,0.00012443682497553899,35.68594204325646,0.0011002477117794851,48.398382684254905
UGT1A9,35.68594204325646,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.398382684254905
KRR1,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
STK17B,66.13467868968416,0.00012443682497553899,35.40615590806419,0.0011002477117794851,48.389820671466516
FFAR2,66.13467868968416,0.00012443682497553899,35.40615590806419,0.0011002477117794851,48.389820671466516
PLOD1,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
IL17RC,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
APOL1,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
KAT6A,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
KSR2,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
CBX4,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
DAGLB,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
PLA2G4A,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
SMYD2,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
PTPRC,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
IFNA1,66.13467868968416,0.00012443682497553899,35.40615590806419,0.0011002477117794851,48.389820671466516
ANXA9,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
HERC5,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
ADAMTSL3,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
DCSTAMP,66.13467868968416,0.00012443682497553899,35.40615590806419,0.0011002477117794851,48.389820671466516
PTPN22,66.13467868968416,0.00012443682497553899,35.40615590806419,0.0011002477117794851,48.389820671466516
PIR,35.40615590806419,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.389820671466516
RASGRP2,34.855591702953106,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,48.376127166937664
RNF168,34.855591702953106,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,48.376127166937664
CCL23,90.89942248104335,3.093003200604204e-05,25.731659929924053,0.003973055754728169,48.363137068522555
CD9,47.42530654144766,0.0004583105532042478,49.26703313987476,0.00026988822898898535,48.3373990720045
FDXR,48.1502529637702,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.334046669031366
HEXA,48.51854193085795,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.334046669031366
CKB,48.51854193085795,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.334046669031366
AEBP1,48.51854193085795,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.334046669031366
ACAT1,35.68594204325646,0.0016209275223648388,65.14934481935528,6.12915892724042e-05,48.21738009659632
SRPK3,35.68594204325646,0.0016209275223648388,65.14934481935528,6.12915892724042e-05,48.21738009659632
CRH,35.68594204325646,0.0016209275223648388,65.14934481935528,6.12915892724042e-05,48.21738009659632
PTGES,35.40615590806419,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.2082820205255
GCDH,35.12938694213557,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.20031865023013
LEP,34.584727540369165,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,48.18779418208584
TUBA4A,34.584727540369165,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,48.18779418208584
GZMA,47.42530654144766,0.0004583105532042478,48.89078285819952,0.00026988822898898535,48.15246996885484
KCNK1,47.7858596099108,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.15080719142254
PGK2,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
CTRL,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
SHMT2,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
FEZ1,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
IL13,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
MAP2K1,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
CLN3,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
DCST1,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
RNF144B,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
HCN1,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
GP2,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
CCR3,48.1502529637702,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.1502529637702
NR2F6,35.68594204325646,0.0016209275223648388,64.66446989952124,6.12915892724042e-05,48.037615730718954
SEMA6C,65.14934481935528,0.00012443682497553899,35.40615590806419,0.0011002477117794851,48.02799038042636
CR1L,35.12938694213557,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.019490932721155
INCENP,35.12938694213557,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.019490932721155
ARHGDIB,65.63938941592905,0.00012443682497553899,35.12938694213557,0.0011002477117794851,48.019490932721155
LEF1,35.12938694213557,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.019490932721155
HNF4A,65.63938941592905,0.00012443682497553899,35.12938694213557,0.0011002477117794851,48.019490932721155
GANAB,65.63938941592905,0.00012443682497553899,35.12938694213557,0.0011002477117794851,48.019490932721155
ITGA6,35.12938694213557,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.019490932721155
NAIP,35.12938694213557,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.019490932721155
PHTF2,65.63938941592905,0.00012443682497553899,35.12938694213557,0.0011002477117794851,48.019490932721155
ITPRIP,35.12938694213557,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.019490932721155
RHOV,35.12938694213557,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.019490932721155
FAM159A,35.12938694213557,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.019490932721155
GPR132,65.63938941592905,0.00012443682497553899,35.12938694213557,0.0011002477117794851,48.019490932721155
AKR1C2,66.13467868968416,0.00012443682497553899,34.855591702953106,0.0011002477117794851,48.01211678122122
TRAPPC13,34.855591702953106,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.01211678122122
JSRP1,66.63528903911535,0.00012443682497553899,34.584727540369165,0.0011002477117794851,48.005867516289634
TNK1,67.14129829198822,0.00012443682497553899,34.31675258080153,0.0011037527123993987,48.0007429259168
IQSEC3,34.31675258080153,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,48.0007429259168
AOC1,47.7858596099108,0.000453250196222031,48.1502529637702,0.00026988822898898535,47.967710267516566
PKD2,35.68594204325646,0.0016209275223648388,64.18469102051411,6.168183346807935e-05,47.85907608617607
DCLRE1C,35.40615590806419,0.0016209275223648388,64.66446989952124,6.12915892724042e-05,47.84893209858265
SDHC,35.40615590806419,0.0016209275223648388,64.66446989952124,6.12915892724042e-05,47.84893209858265
DRD1,64.66446989952124,0.00012443682497553899,35.40615590806419,0.0011002477117794851,47.84893209858265
HIF1A,35.40615590806419,0.0016209275223648388,64.66446989952124,6.12915892724042e-05,47.84893209858265
CCND3,35.40615590806419,0.0016209275223648388,64.66446989952124,6.12915892724042e-05,47.84893209858265
SLC13A2,35.40615590806419,0.0016209275223648388,64.66446989952124,6.12915892724042e-05,47.84893209858265
FASN,35.12938694213557,0.0016209275223648388,65.14934481935528,6.12915892724042e-05,47.83990534256675
PHYKPL,65.14934481935528,0.00012443682497553899,35.12938694213557,0.0011002477117794851,47.83990534256675
C17ORF75,35.12938694213557,0.0016209275223648388,65.14934481935528,6.12915892724042e-05,47.83990534256675
MSMO1,65.14934481935528,0.00012443682497553899,35.12938694213557,0.0011002477117794851,47.83990534256675
OR2L13,65.63938941592905,0.00012443682497553899,34.855591702953106,0.0011002477117794851,47.83199511950933
ARL17B,34.855591702953106,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,47.83199511950933
KIF3B,34.855591702953106,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,47.83199511950933
NCOA3,66.13467868968416,0.00012443682497553899,34.584727540369165,0.0011002477117794851,47.82520092433053
