drug,net_trace,weighted_trace,vae_score,baseline,sig_reproducibility,n_cell_lines,reversal_rank,reversal_pct
dovitinib,0.0395321057292871,0.029980443264758,0.2673207,-0.0824719101123595,0.0,13,115,6.504524886877829
binimetinib,0.0394566159410294,0.0647856559689567,0.15779105,0.0,0.0,7,116,6.561085972850679
cordycepin,0.0392744020525639,0.0220245544837697,-0.078654416,0.0622471910112359,0.0,7,117,6.61764705882353
tracazolate,0.0392311088623537,0.0119799392664849,-0.6234222,0.0,0.0,7,118,6.67420814479638
KD-025,0.0391878176678615,-0.0017259983299017,-0.05043921,0.0,0.0,7,119,6.730769230769231
pentobarbital,0.0391258520712558,0.0470197980389882,-0.050070133,0.0,0.0,7,120,6.787330316742081
AVL-292,0.0391013287496834,0.0131869508809529,0.029725406,-0.1008239700374531,0.0,7,121,6.843891402714933
SB-939,0.0388896013149444,0.0640053566278313,0.00815167,0.0,0.0,21,122,6.900452488687783
vu0155056,0.038650048598849,-0.0116357204136693,-0.38003162,0.0,0.0,5,123,6.957013574660634
PF-573228,0.0377638621530975,-0.0152540309509059,-0.20708793,0.0,0.0,19,124,7.013574660633484
EMD-1214063,0.0375963921356862,0.0241097442150748,0.019862026,0.0,0.0,7,125,7.070135746606335
bisindolylmaleimide,0.0375886650799343,0.0762607946874581,0.015627488,-0.0616666666666666,0.0,7,126,7.126696832579185
BGT-226,0.0369310953447884,0.0238623190982589,-0.3724608,-0.1165168539325842,0.0,22,127,7.1832579185520355
ursodiol,0.0368881980111672,0.0060957741416201,-0.049613193,-0.08438202247191,0.0,7,128,7.239819004524888
tecastemizole,0.036803753475237,0.0399525944659596,0.026011545,-0.0623970037453183,0.0,7,129,7.296380090497738
paracetamol,0.0364802702514391,0.0432850981349137,-0.08009636,0.0,0.0,7,130,7.352941176470589
caffeine,0.0359909207552588,-0.0011534788757583,-0.021762904,0.1061797752808988,0.0,7,131,7.409502262443439
HG-6-64-01,0.0358994495873832,0.0330874861600113,-0.13529955,-0.1282584269662921,0.0,15,132,7.46606334841629
kakonein,0.0358713512051251,0.0019781228671057,0.06612927,0.0,0.0,7,133,7.52262443438914
bortezomib,0.0356959849723289,0.0420317512311563,0.06286105,0.0,0.0,7,134,7.579185520361991
nalbuphine,0.0355892931630838,0.0247294443215137,-0.038954526,-0.1012359550561797,0.0,7,135,7.635746606334842
anandamide,0.0354683171977326,0.0068962763848906,-0.0514263,0.0535205992509363,0.0,7,136,7.6923076923076925
lacidipine,0.0354310305825429,0.0393667046156909,-0.038697004,-0.062752808988764,0.0,7,137,7.748868778280543
acexamic-acid,0.0344365341787349,-0.0019389642903347,-0.036129,0.0,0.0,7,138,7.8054298642533935
sodium-gualenate,0.0339226815802701,0.0003265967853684,0.008434272,0.0,0.0,7,139,7.861990950226244
levofloxacin,0.0337328295188599,-0.0088972261175532,-0.61820614,0.0,0.0,7,140,7.918552036199094
clomifene,0.0334116977067967,0.0504413656898459,0.05650674,-0.0717228464419475,0.0,7,141,7.975113122171945
LY-2157299,0.0332062975499786,0.0216791573190316,0.033640336,0.0,0.0,7,142,8.031674208144796
cilomilast,0.0332027538179034,0.0196256218910269,-0.05655994,-0.0557677902621722,0.0,7,143,8.088235294117647
troglitazone,0.0330673153379555,0.0271419641090683,-0.021163058,0.0857865168539326,0.0,7,144,8.144796380090497
ticagrelor,0.0330529198912077,0.0278721859438265,0.04000569,-0.0810112359550561,0.0,7,145,8.201357466063348
DPI-201106,0.0330103271079667,-0.0236597788706381,0.0075109224,-0.0650187265917602,0.0,7,146,8.257918552036198
XMD-1150,0.0329973618765467,0.0442421910299271,0.18279396,-0.0617602996254681,0.0,15,147,8.314479638009049
