drug,baseline_score,baseline_rank
PF-03814735,0.0,759
ropinirole,0.0,760
PF-04457845,0.0,761
PF-04620110,0.0,762
RS-127445,0.0,763
PF-431396,0.0,764
roflumilast,0.0,765
PF-573228,0.0,766
PFI-1,0.0,767
PH-797804,0.0,768
PHA-665752,0.0,769
PHA-793887,0.0,770
PI-103,0.0,771
PF-477736,0.0,772
resatorvid,0.0,773
relcovaptan,0.0,774
refametinib,0.0,775
AT-9283,0.0,776
SR-33805,0.0,777
SR-57227A,0.0,778
quizartinib,0.0,779
quinapril,0.0,780
pyrazinoylguanidine,0.0,781
protriptyline,0.0,782
TAS-103,0.0,783
zebularine,0.0,784
propranolol,0.0,785
TGX-221,0.0,786
ulipristal,0.0,787
proguanil,0.0,788
TPCA-1,0.0,789
progesterone,0.0,790
SN-38,0.0,791
UNC-0321,0.0,792
racecadotril,0.0,793
SEP-227900,0.0,794
rebastinib,0.0,795
ranolazine,0.0,796
ranitidine,0.0,797
ramipril,0.0,798
AVN-944,0.0,799
SB-271046,0.0,800
SB-525334,0.0,801
SGI-1776,0.0,802
tyrphostin-AG-112,0.0,803
raltegravir,0.0,804
SB-756050,0.0,805
SB-939,0.0,806
AV-412,0.0,807
ubenimex,0.0,808
SC-12267,0.0,809
raloxifene,0.0,810
3-amino-benzamide,0.0,811
tracazolate,0.0,812
benazepril,0.048089887640449455,813
lisinopril,0.05056179775280899,814
hydroxyurea,0.051704119850187275,815
enoxolone,0.05177902621722846,816
pentamidine,0.051816479400749064,817
carbamazepine,0.05207865168539322,818
umeclidinium,0.052116104868913854,819
XBD-173,0.05211610486891388,820
anandamide,0.05352059925093633,821
gliclazide,0.05352059925093633,822
homoharringtonine,0.053632958801498154,823
SB-242235,0.05383895131086142,824
etazolate,0.053932584269662937,825
duloxetine,0.053951310861423254,826
ampalex,0.05456928838951314,827
dipraglurant,0.0547752808988764,828
lacitol,0.05498127340823972,829
irbesartan,0.05514981273408237,830
HG-5-88-01,0.055430711610486884,831
etofylline-clofibrate,0.05573033707865166,832
