drug,trace_score,emp_pvalue,emp_padj,significant,trace_rank,baseline_score,baseline_rank
etofylline-clofibrate,0.0096790897865461,0.662,1.0,False,350,0.0557303370786516,832
AZD-7545,0.0096723112925135,0.323,1.0,False,351,0.0,512
bupivacaine,0.0096442340815492,0.575,1.0,False,352,0.0,239
HG-5-113-01,0.0095693209483379,0.336,1.0,False,353,0.0847191011235954,1136
palomid-529,0.0093379317428163,0.434,1.0,False,354,0.0,702
etazolate,0.0093223134227041,0.365,1.0,False,355,0.0539325842696629,825
telmesteine,0.0092856418592928,0.516,1.0,False,356,0.071441947565543,935
KX2-391,0.0092223148343729,0.38,1.0,False,357,0.0,502
GSK-J2,0.0089908168500664,0.58,1.0,False,358,0.0,645
AT-9283,0.0089154859961519,0.306,1.0,False,359,0.0,776
EVP-6124,0.0088255650290294,0.345,1.0,False,360,0.0,617
lidoflazine,0.0087820824133826,0.528,1.0,False,361,0.1027902621722846,1416
vardenafil,0.0087447896946438,0.591,1.0,False,362,0.0,567
CGP-12177,0.0086410896667319,0.609,1.0,False,363,0.0,607
dabrafenib,0.0085691132117696,0.397,1.0,False,364,-0.0814794007490636,119
indirubin,0.0085642907799979,0.422,1.0,False,365,0.0,410
OCO-1112,0.0083291430784539,0.575,1.0,False,366,0.0,549
ketanserin,0.0081560223827148,0.541,1.0,False,367,0.0,457
arbutin,0.0080690369961067,0.568,1.0,False,368,0.1184456928838951,1587
DMP-543,0.0076656213943207,0.463,1.0,False,369,0.0819662921348314,1089
mannitol-D,0.0076283015486425,0.547,1.0,False,370,0.093314606741573,1277
hexachlorophene,0.007602198074269,0.4,1.0,False,371,0.0,343
