drug,final_score,trace_score,genetic_support,pathway_concordance,sig_reproducibility,n_cell_lines,baseline_score,final_rank
azacitidine,0.677262443438914,0.0180880945353107,0.0,0.0,0.0,21,0.0,253
piracetam,0.6769796380090497,0.0180328278351026,0.0,0.0,0.0,7,0.1001498127340824,254
brivudine,0.6766968325791854,0.0179648072774977,0.0,0.0,0.0,7,0.0722846441947565,255
VE-822,0.6764140271493212,0.0177950359417611,0.0,0.0,0.0,2,0.0,256
lomitapide,0.6761312217194569,0.0177432964636679,0.0,0.0,0.0,7,0.0,257
pioglitazone,0.6758484162895927,0.0176865495547237,0.0,0.0,0.0,7,-0.0746629213483146,258
AV-412,0.6755656108597284,0.017494874186552,0.0,0.0,0.0,7,0.0,259
bazedoxifene,0.6752828054298642,0.0174140515527349,0.0,0.0,0.0,7,0.0649063670411984,260
varenicline,0.6749999999999999,0.0172980368105465,0.0,0.0,0.0,7,0.0,261
faropenem,0.6747171945701357,0.0171828433949785,0.0,0.0,0.0,7,-0.0757865168539325,262
curcumin,0.6744343891402714,0.0171223573212391,0.0,0.0,0.0,9,0.0,263
SR-57227A,0.6741515837104072,0.0170531222697291,0.0,0.0,0.0,7,0.0,264
milrinone,0.6738687782805429,0.0170461382107084,0.0,0.0,0.0,7,0.0,265
rimonabant,0.6735859728506787,0.0169838857879551,0.0,0.0,0.0,7,0.0,266
ixabepilone,0.6733031674208144,0.0169591968928652,0.0,0.0,0.0,7,-0.0731460674157303,267
penitrem-a,0.6730203619909502,0.0168975772218219,0.0,0.0,0.0,7,0.0,268
cytochalasin-b,0.6727375565610859,0.0167926363467583,0.0,0.0,0.0,7,0.0,269
oprozomib,0.6724547511312217,0.0167497544238582,0.0,0.0,0.0,7,0.0,270
pindolol,0.6721719457013574,0.0167046903513474,0.0,0.0,0.0,7,0.0,271
paroxetine,0.6718891402714932,0.0166304906023743,0.0,0.0,0.0,7,0.0746816479400749,272
desoxypeganine,0.6716063348416289,0.0165752437073008,0.0,0.0,0.0,7,0.0634269662921348,273
mitiglinide,0.6713235294117647,0.0164236225032341,0.0,0.0,0.0,7,0.0,274
diphenidol,0.6710407239819004,0.0163066566033335,0.0,0.0,0.0,7,0.068501872659176,275
NVP-BEZ235,0.6707579185520361,0.0162761461819107,0.0,0.0,0.0,16,-0.0661423220973782,276
oxybutynin,0.6704751131221719,0.016111320805537,0.0,0.0,0.0,7,0.0775842696629213,277
anacetrapib,0.6701923076923076,0.0160475706428087,0.0,0.0,0.0,7,0.0,278
doxazosin,0.6699095022624434,0.0159710883971647,0.0,0.0,0.0,7,0.0,279
UK-383367,0.6696266968325791,0.0159550614571789,0.0,0.0,0.0,7,-0.0619662921348314,280
gabapentin,0.6693438914027149,0.0159073487040004,0.0,0.0,0.0,7,0.0,281
hymecromone,0.6690610859728506,0.0159072438904904,0.0,0.0,0.0,7,0.1176217228464419,282
ixazomib,0.6687782805429864,0.015881188871772,0.0,0.0,0.0,7,0.0,283
BIX-01338,0.6684954751131221,0.0157597211986163,0.0,0.0,0.0,5,0.0,284
KU-55933,0.6682126696832579,0.0156194449968574,0.0,0.0,0.0,19,0.0,285
meclofenamic-acid,0.6679298642533936,0.0155310152581229,0.0,0.0,0.0,7,-0.0903558052434456,286
isofloxythepin,0.6676470588235294,0.0154658245387748,0.0,0.0,0.0,7,-0.084943820224719,287
