drug,trace_score,trace_rank
indirubin,0.008564290779997987,365
OCO-1112,0.008329143078453928,366
ketanserin,0.008156022382714803,367
arbutin,0.008069036996106754,368
DMP-543,0.00766562139432076,369
mannitol-D,0.007628301548642517,370
hexachlorophene,0.007602198074269088,371
gsk126,0.00753347752000973,372
NPK76-II-72-1,0.0073808988635133445,373
metatinib,0.0072055640336530745,374
indoramin,0.007185712566837913,375
setiptiline,0.007059572744276839,376
cytarabine,0.0070563265327756985,377
guanadrel,0.007008802698426433,378
cyclizine,0.006828159786057813,379
naftidrofuryl,0.00682127178875247,380
metergoline,0.006819274831755272,381
trilostane,0.006738191167019936,382
pimecrolimus,0.00670189946174022,383
genz-644282,0.006622555815947604,384
GSK-1070916,0.006606855724537955,385
17-hydroxyprogesterone-caproate,0.006527217966695667,386
"16,16-dimethylprostaglandin-e2",0.006350814970613563,387
NVP-DPP728,0.006027456993685061,388
gefitinib,0.005968010953999852,389
indibulin,0.005889663432720364,390
nafamostat,0.005851006846866823,391
ABT-724,0.005823551506641437,392
L-655240,0.005497041192159387,393
LCL-161,0.00549608292433527,394
cilostazol,0.00543741083192555,395
malotilate,0.005419410080958436,396
podophyllotoxin,0.005371085004147513,397
cinaciguat,0.005347110279699603,398
neostigmine,0.005257198836315412,399
sildenafil,0.005254381406125506,400
resatorvid,0.00513422801257016,401
mercaptopurine,0.005102653711205363,402
aspirin,0.004815720468968674,403
mirodenafil,0.004771266795265033,404
tenidap,0.00473426756347403,405
amuvatinib,0.004581686724840759,406
SB-743921,0.004566890731176506,407
bitopertin,0.004501351987830396,408
colchicine,0.004438083245646233,409
dihydroergocristine,0.004387253669317841,410
TH-302,0.0042164910460357205,411
WZ-4002,0.004155095731604543,412
ursolic-acid,0.004075501653477903,413
ixazomib-citrate,0.004071287685920756,414
vicriviroc,0.004007476055411338,415
TWS-119,0.0039821831492255315,416
GSK-2110183,0.003976762936706715,417
secnidazole,0.0039321131437328365,418
butorphanol-(+)-tartrate,0.003920480619577525,419
dronedarone,0.0038307238114900933,420
IOWH-032,0.0037484600568837975,421
adatanserin,0.0033095503140876713,422
donitriptan,0.003256854355351553,423
SU-11652,0.003089587509101482,424
zafirlukast,0.0030662864838380695,425
cinoxacin,0.003029073977973793,426
cefotetan,0.0028014504351805904,427
pidotimod,0.0027362946967990193,428
GSK-2636771,0.0027233455216834792,429
AR-A014418,0.002707500181293297,430
yohimbine,0.0026107830537069085,431
balsalazide,0.0025044864956492367,432
ponatinib,0.002409634119072463,433
ifosfamide,0.002342214143323603,434
altretamine,0.0023351343410573325,435
avanafil,0.0023278221318233606,436
mozavaptan,0.0021965022169645517,437
Y-26763,0.0021518435831672056,438
bifemelane,0.0021291993674998396,439
conivaptan,0.0020513196624048226,440
tacrolimus,0.002025365357539598,441
epothilone-b,0.0020253071287285535,442
tyrphostin-AG-1478,0.0020242665834650634,443
SEP-227900,0.0020164032655406857,444
IPI-145,0.0019684584685297937,445
phenytoin,0.0019532834604150564,446
netupitant,0.0019305380863888087,447
camptothecin,0.0018384317085605138,448
lafutidine,0.0018239634334311556,449
MK-0893,0.0016816278120584125,450
r(-)-apomorphine,0.001629533644320662,451
trazodone,0.0015601679037402522,452
MK-3207,0.0015428664927227072,453
galeterone,0.001537606551763939,454
etomidate,0.001519168513475577,455
mocetinostat,0.001448276518030165,456
valsartan,0.001402203780409777,457
palbociclib,0.0013867898251370865,458
elvitegravir,0.0013426436643549896,459
lestaurtinib,0.0013052086027370029,460
VX-765,0.0010966531629920317,461
trifluoperazine,0.0010609477881906332,462
ropinirole,0.0010464484914526118,463
tioguanine,0.0010106127640528914,464
aminosalicylic-acid,0.0009150279793849402,465
IKK-2-inhibitor-V,0.0009055157746082082,466
MK-1775,0.0008198927411743017,467
clofibric-acid,0.0006402555160893404,468
ifenprodil,0.0006300540126778718,469
JTC-801,0.0006274687208120784,470
primaquine,0.0005434134569401491,471
tolperisone,0.0004992643566648374,472
mericitabine,0.00047346716551161335,473
losartan,0.00045238308660328313,474
sertraline,0.00039587915077752715,475
acetylcysteine,0.00024847999608879534,476
sparfloxacin,0.00023947340109777663,477
TGX-221,0.0001809658879132139,478
anecortave-acetate,0.00017343066850459342,479
S-18986,0.00015601832240329892,480
fluocinolone-acetonide,0.00013674970308640897,481
AZD-3514,0.00013456070745343482,482
thioguanine,9.396361356901181e-05,483
sobetirome,2.8818691319938386e-05,484
narlaprevir,-4.796503216002938e-06,485
dolutegravir,-0.00010933548541405137,486
albendazole,-0.00016080901944260306,487
clofoctol,-0.00016766939676017545,488
diclofensine,-0.00025399892081313913,489
MLN-0128,-0.0003040118835093583,490
argatroban,-0.0003283874744714241,491
acipimox,-0.00041956824989259023,492
atovaquone,-0.00042067420892089285,493
eperezolid,-0.00043487794477708146,494
ornidazole,-0.0004862168674487017,495
benzamil,-0.0005228292522888335,496
GSK-1059615,-0.0005524054093822688,497
