drug,weighted_trace,weighted_rank
rabeprazole,-0.014457718627513513,581
aminosalicylic-acid,-0.014512311712948403,582
WZ-7043,-0.014527090149901747,583
reboxetine,-0.01461640751434108,584
asymmetrical-dimethylarginine,-0.014737838269570787,585
midostaurin,-0.014770100802269573,586
diphenylpyraline,-0.01485863931728213,587
AZD-7545,-0.01486841345359888,588
tonabersat,-0.015038960863281194,589
LDN-193189,-0.015099772851308037,590
telotristat,-0.015254021364280376,591
PF-573228,-0.015254030950905965,592
clofibric-acid,-0.015265987894782486,593
castanospermine,-0.015298684769689843,594
zebularine,-0.015303495766188299,595
idoxuridin,-0.01530693893215598,596
trimebutine,-0.01537081117670767,597
chlorpromazine,-0.015399034380284015,598
ecabet,-0.01543550232627587,599
IPI-145,-0.015475442298716743,600
sparfloxacin,-0.015697416929990642,601
cyclizine,-0.015825873994301427,602
pioglitazone,-0.01591467492767358,603
sertindole,-0.015929867504564942,604
buparlisib,-0.01593595817865858,605
MK-3207,-0.015956843212890356,606
dabigatran-etexilate,-0.015984582535937212,607
elvitegravir,-0.016018174349015372,608
minaprine,-0.016229290978839163,609
PKI-179,-0.01626252361961031,610
methoxsalen,-0.016468477975498063,611
cefoperazone,-0.016484482540272852,612
mericitabine,-0.016510240929874815,613
fluvoxamine,-0.01655900389255464,614
azithromycin,-0.016601399785063056,615
SU-11274,-0.016606198691762684,616
MK-0773,-0.016615286200036616,617
pantoprazole,-0.016677742301011128,618
VX-661,-0.016827332107133084,619
irbesartan,-0.01685910952062851,620
ursodeoxycholyltaurine,-0.01686221034359798,621
levocabastine,-0.016870637077890455,622
MLN-2480,-0.016895917572390774,623
tacrolimus,-0.01692446516212612,624
moracizine,-0.01698500375203719,625
felbinac,-0.017048633814244433,626
tirofiban,-0.017051663329487352,627
ethylenediaminetetraacetic-acid,-0.01706676127360463,628
dolutegravir,-0.017196361250771612,629
XBD-173,-0.017294155110972084,630
dicloxacillin,-0.017416415185901372,631
pramipexole,-0.01745866303923745,632
CYT-997,-0.017463102156284355,633
BS-181,-0.01752131862128842,634
cinaciguat,-0.017649528005910662,635
lisinopril,-0.017668614485801423,636
niclosamide,-0.017730163158743352,637
isoniazid,-0.017888157180725228,638
pazufloxacin,-0.01791644849546729,639
aspirin,-0.017940280870447405,640
BMS-777607,-0.017965808720674662,641
