drug,baseline_score,baseline_rank,trace_score,trace_rank
loperamide,0.0,415,-0.03231864187522467,1123
lomitapide,0.0,416,0.017743296463667953,257
lomeguatrib,0.0,417,-0.01903508600937571,838
chlorpromazine,0.0,418,-0.001643724181984676,516
chlorprothixene,0.0,419,-0.006082611356204878,584
lofexidine,0.0,420,-0.007087579940813232,608
losartan,0.0,421,0.00045238308660328313,474
choline-alfoscerate,0.0,422,-0.03966713670691875,1265
ciclesonide,0.0,423,-0.045746840040592755,1377
licarbazepine,0.0,424,0.05079981842141973,80
levosimendan,0.0,425,-0.027647223410091532,1009
cilostazol,0.0,426,0.00543741083192555,395
cimetidine,0.0,427,-0.015301749164379016,773
cinaciguat,0.0,428,0.005347110279699603,398
levomequitazine,0.0,429,-0.047729844031137204,1408
cinnarizine,0.0,430,-0.029003783344320504,1045
lidocaine,0.0,431,-0.007200573908419499,610
levofloxacin,0.0,432,0.033732829518859975,140
lucitanib,0.0,433,-0.04288265419973643,1318
lupanine,0.0,434,-0.05823007266912686,1540
calpeptin,0.0,435,-0.030146886774454918,1075
camicinal,0.0,436,-0.027640069814577676,1008
camostat-mesilate,0.0,437,-0.041177502749969855,1297
camptothecin,0.0,438,0.0018384317085605138,448
medroxyprogesterone-acetate,0.0,439,-0.03619278215552858,1194
candesartan,0.0,440,-0.01719882470359691,805
mebendazole,0.0,441,-0.04374763849153478,1333
maxacalcitol,0.0,442,-0.0723823208882051,1661
luliconazole,0.0,443,0.02091505069237658,226
carbenoxolone,0.0,444,-0.02550888225807654,966
carfilzomib,0.0,445,0.01815057307022428,252
carglumic-acid,0.0,446,0.011935011940732557,323
maraviroc,0.0,447,-0.04261276996770103,1315
cariprazine,0.0,448,0.020691304052025346,229
maprotiline,0.0,449,-0.03307760588433888,1141
carvedilol,0.0,450,-0.014017264857397705,746
cefepime,0.0,451,-0.03101500292384852,1100
cefoperazone,0.0,452,-0.02012998598004349,856
marimastat,0.0,453,-0.035470149408308935,1179
medrysone,0.0,454,-0.05866140543691868,1546
levocabastine,0.0,455,0.011644867592292734,326
cladribine,0.0,456,-0.05297133264898601,1469
ketanserin,0.0,457,0.008156022382714803,367
kakonein,0.0,458,0.0358713512051251,133
cyproterone-acetate,0.0,459,-0.015912256045922328,789
cytarabine,0.0,460,0.0070563265327756985,377
josamycin,0.0,461,-0.0585737998147564,1544
cytochalasin-b,0.0,462,0.01679263634675831,269
ixazomib,0.0,463,0.015881188871772072,283
dacinostat,0.0,464,0.09393663560355749,14
ketoconazole,0.0,465,0.01899044586496918,242
ivermectin,0.0,466,0.014091159155096117,296
itraconazole,0.0,467,-0.025021912203776142,957
danegaptide,0.0,468,-0.028190904310395927,1022
danusertib,0.0,469,0.03216873265709573,153
isoconazole,0.0,470,-0.061093202128961396,1566
dapivirine,0.0,471,-0.052064383361499406,1458
daunorubicin,0.0,472,-0.029425040511530824,1054
inositol,0.0,473,-0.008509636182749143,632
inosine,0.0,474,0.03027355407196787,165
ivacaftor,0.0,475,-0.019997531552389407,855
levetiracetam,0.0,476,-0.005244468172555168,573
cyclizine,0.0,477,0.006828159786057813,379
labetalol,0.0,478,-0.016115120092234363,792
levalbuterol,0.0,479,-0.0324169219621576,1124
lersivirine,0.0,480,-0.0011816045493840842,510
climbazole,0.0,481,-0.014652612893771655,763
lenalidomide,0.0,482,-0.031937106289944193,1116
clioquinol,0.0,483,-0.03685912358671295,1201
clobetasol,0.0,484,-0.011615955785912287,686
clofarabine,0.0,485,-0.05043123143464197,1441
clofazimine,0.0,486,0.025246245220405028,191
cyanocobalamin,0.0,487,-0.05375966532787538,1480
clofibric-acid,0.0,488,0.0006402555160893404,468
clomipramine,0.0,489,0.012000914037793043,322
lapatinib,0.0,490,0.027741468475064424,179
clozapine,0.0,491,-0.009760480277705439,655
lafutidine,0.0,492,0.0018239634334311556,449
compound e,0.0,493,0.018393056216513333,250
conivaptan,0.0,494,0.0020513196624048226,440
crizotinib,0.0,495,0.01348634832440485,303
curcumin,0.0,496,0.01712235732123918,263
clofoctol,0.0,497,-0.00016766939676017545,488
oxatomide,0.0,498,0.023711215878686354,197
picotamide,0.0,499,-0.00829790670997486,626
varenicline,0.0,500,0.0172980368105465,261
KW-2449,0.0,501,-0.0025416645279127603,534
KX2-391,0.0,502,0.009222314834372906,357
L-655240,0.0,503,0.005497041192159387,393
L-690330,0.0,504,-0.003689911275894113,545
triamcinolone,0.0,505,-0.020461570391682806,870
L-citrulline,0.0,506,-0.015414046257063291,777
L-ergothioneine,0.0,507,-0.00749727437972603,616
simeprevir,0.0,508,-0.006162105248487944,587
sildenafil,0.0,509,0.005254381406125506,400
LGX-818,0.0,510,-0.02761490471752285,1006
LXR-623,0.0,511,0.030199110220756515,166
AZD-7545,0.0,512,0.009672311292513593,351
LY-215490,0.0,513,-0.03774706492166695,1217
LY-2157299,0.0,514,0.03320629754997864,142
LY-2228820,0.0,515,0.029979560647337884,167
KU-55933,0.0,516,0.015619444996857485,285
KN-93,0.0,517,-0.02024104073584438,863
simvastatin,0.0,518,0.0684920594655081,39
siramesine,0.0,519,0.009779597426064893,346
