drug,baseline,net_trace,weighted_trace,vae_score,genetic_support,sig_reproducibility,n_cell_lines,combined_score,combined_rank,genetic_support_expanded,combined_score_expanded,combined_rank_expanded
neratinib,-0.1008052434456928,0.0601618137453098,0.0266385698086791,0.015299552,0.0638489720610904,0.0,15,0.8275608375778155,13,0.0638489720610904,0.049235598490982024,20
riluzole,-0.0948689138576779,0.0581917305967409,0.0130453473561117,0.026615774,0.0665243738432463,0.0,7,0.8267025089605734,14,0.0665243738432463,0.04905317745134434,21
D-4476,-0.1293258426966292,0.0976207984674886,0.0224659952745798,0.047942467,0.0,0.0,21,0.6943406904357668,81,0.0,0.0488103992337443,22
baricitinib,-0.0889325842696629,0.0582027437916066,0.0151078556715098,-0.017921073,0.0647855085974392,0.0,7,0.7983399358611584,18,0.0647855085974392,0.048537024475035065,23
efatutazone,0.0,0.0445175669350021,0.040382760000923,0.11335433,0.0871896792526182,0.0,7,0.8638181475193359,6,0.0871896792526182,0.04841568724328651,24
osimertinib,-0.0906179775280898,0.0582240531468546,0.0472829731555965,0.107732326,0.0638489720610904,0.0,24,0.865195246179966,5,0.0638489720610904,0.04826671819175442,25
vorinostat,0.0,0.0445219255647375,0.0625625137424113,0.019603381,0.0825531422312492,0.0,22,0.8365780041501604,11,0.0825531422312492,0.04702690545174351,26
dacinostat,0.0,0.0939366356035574,0.0948731615702901,0.065023184,0.0,0.0,7,0.7144312393887945,49,0.0,0.0469683178017787,27
PD-0325901,-0.1215355805243445,0.0931302568835778,0.0740970412998359,-0.0110442685,0.0,0.0,30,0.6750990379173741,126,0.0,0.0465651284417889,28
BI-2536,-0.1488951310861423,0.0924666501319442,0.1027798414458967,0.23280975,0.0,0.0,27,0.7436710054706659,20,0.0,0.0462333250659721,29
sunitinib,-0.168314606741573,0.0909455991497725,0.07324470090129,-0.0732686,0.0,0.0,22,0.6292586304470854,266,0.0,0.04547279957488625,30
WZ-4-145,-0.115936329588015,0.0895181958295982,0.0447725772699548,0.058523927,0.0,0.0,15,0.7049047349556687,61,0.0,0.0447590979147991,31
trichostatin-a,-0.1726779026217228,0.089475273741222,0.0794198498889825,0.091244824,0.0,0.0,5,0.7192416525183928,44,0.0,0.044737636870611,32
AP-26113,-0.0814794007490636,0.0491474192330198,0.0361986442720666,0.0638385,0.0638489720610904,0.0,7,0.8475570647047727,10,0.0638489720610904,0.043728401234837025,33
canertinib,-0.0859363295880149,0.048160065493379,0.0340869130997717,0.11372087,0.0638489720610904,0.0,17,0.8620826259196378,7,0.0638489720610904,0.043234724365016616,34
BIBX-1382,-0.0956179775280899,0.0461325810291385,0.0298580325431965,0.15263802,0.0638489720610904,0.0,7,0.8675532918317298,4,0.0638489720610904,0.04222098213289637,35
I-BET-151,-0.1228089887640448,0.0840622144943785,0.0803621613463383,0.10839932,0.0,0.0,19,0.725089605734767,34,0.0,0.04203110724718925,36
I-BET-762,-0.1233895131086142,0.0839942211745074,0.0758689215301453,0.06726491,0.0,0.0,21,0.7137709866063007,51,0.0,0.0419971105872537,37
YM-201636,-0.078314606741573,0.0833412168818309,0.0597707617811622,0.079319894,0.0,0.0,13,0.7138653084323713,50,0.0,0.04167060844091545,38
pitavastatin,-0.0962921348314607,0.0822129302343493,0.0849125363745083,0.1381946,0.0,0.0,7,0.7329183172986229,28,0.0,0.04110646511717465,39
NVP-TAE684,-0.0932022471910112,0.0821504791910466,0.0861444792374279,0.087234765,0.0,0.0,15,0.7188643652141106,46,0.0,0.0410752395955233,40
KW-2478,-0.1191947565543071,0.0769015050286314,0.1019630445086317,0.058466256,0.0,0.0,7,0.7110356536502546,56,0.0,0.0384507525143157,41
AZD-8330,-0.1047191011235955,0.0764236811305565,0.071015758286237,0.097733654,0.0,0.0,15,0.7195246179966044,41,0.0,0.03821184056527825,42
JQ1-(+),-0.0939138576779026,0.07565793584196,0.0721590846967118,0.2023335,0.0,0.0,19,0.7380116959064328,23,0.0,0.03782896792098,43
VP-20629,-0.1169101123595505,0.0754508805904667,0.0455405629608481,0.026425635,0.0,0.0,7,0.6930201848707791,86,0.0,0.03772544029523335,44
AST-1306,-0.0656554307116105,0.0749161705699212,0.0125130658695608,0.13659377,0.0,0.0,22,0.7114129409545369,55,0.0,0.0374580852849606,45
