entrez,probe,log2FC,t_stat,se,pvalue,padj,n_uc,n_ctrl
26258,222826_at,0.6758021983846163,3.364530149050608,0.17637816282849825,0.0021114147561717366,0.03222825287372688,19,13
26259,231883_at,0.16565249948582972,2.1914126825593505,0.07093258167412798,0.03632296675903171,0.2160528946420865,19,13
26260,225591_at,-0.10743739447368394,-0.832602756993632,0.1253626525209096,0.4116482166554777,0.840718174354273,19,13
26261,223941_at,0.08945734244939274,1.8355971816215426,0.051707719984007465,0.07634818134953268,0.3493461222935559,19,13
26262,225235_at,0.19695764458704534,2.496586139479114,0.07929677029253102,0.018259946307703567,0.13662025824321858,19,13
26263,225736_at,0.26625893630364494,2.1138350096834597,0.11899252767170496,0.04295307145059712,0.2409657686131544,19,13
26266,219824_at,-0.00905392689878548,-0.9662465162820325,0.010302394117788249,0.3416461145992177,0.7819180741690147,19,13
26267,237036_at,-0.07545788471255044,-1.8095884540029636,0.050259152936095335,0.08038971506106893,0.360655425532448,19,13
26268,212991_at,0.3310496610485836,1.5261796862283277,0.19768720739674112,0.1374400529860506,0.4977502084528262,19,13
26269,223240_at,-0.5447793309433173,-4.77904690700189,0.09614886209442505,4.345013477632135e-05,0.0031717438169497594,19,13
26270,231769_at,1.2018485136882582,3.919152918757187,0.2891745798834721,0.00047662154855197933,0.012607297129694953,19,13
26271,234863_x_at,0.6015369072226724,3.3372774074552076,0.18019173449016362,0.0022675931755329957,0.03385464946399145,19,13
26272,223493_at,0.387039916186235,2.454329847336434,0.15879351011023163,0.020135628256421966,0.14604874965771703,19,13
26273,218432_at,-0.41621964529554845,-2.6955710469806835,0.13352113424598308,0.011405381443251716,0.10049786146813659,19,13
26275,213374_x_at,-0.3937848600526319,-2.199324388671924,0.16404309713855147,0.03570109915421369,0.2136488507110317,19,13
26276,218415_at,-0.008686684336033146,-0.06118435270137359,0.14200471445708507,0.9516181951903006,0.9996525187900612,19,13
26277,220052_s_at,0.2487762115627543,2.0985204700247455,0.11178332122728239,0.04438237208094495,0.24612006023045346,19,13
26278,213262_at,0.5377656843967631,2.218946491744024,0.20966332878558505,0.03419975690473807,0.20750989998519076,19,13
26279,220423_at,0.2151535842105261,0.8524447093928476,0.20769656785397678,0.4007217359161384,0.8320153765698882,19,13
26280,221112_at,0.010024206133603109,1.2313013617428037,0.007302956462095527,0.22777583596540288,0.6499814108250732,19,13
26281,220394_at,0.0027385558340085048,0.16855643232137626,0.01604620122440119,0.8672768531213098,0.9996525187900612,19,13
26284,212087_s_at,0.11314639574493857,1.109278804529005,0.10343465552705737,0.2761232953133792,0.7125279012298946,19,13
26285,221328_at,0.006811037202429482,0.425424864680824,0.01387642228195695,0.6735633464004165,0.9734404809990653,19,13
26286,202211_at,1.3591213052712554,5.09996665583457,0.2459682208719884,1.7566592343370427e-05,0.001994701190522062,19,13
26287,221232_s_at,0.02665177330769186,0.5767701124624339,0.04726827941039396,0.5683977594090098,0.9318764429424453,19,13
26289,222862_s_at,-0.042426706093117605,-1.8537172499333312,0.027326414674398364,0.0736364454624778,0.34110587610446275,19,13
26290,220929_at,0.3856431734291492,2.566421484462183,0.13856101066723184,0.015508936042678478,0.12254343205200681,19,13
26291,221433_at,-0.0027643166558708465,-0.18539751591040296,0.015251704173347818,0.8541650551689897,0.9996525187900612,19,13
26297,220482_s_at,-0.054523308979756546,-0.3409308293401004,0.15161389408598466,0.7355318602521993,0.9884627242180629,19,13
26298,232360_at,0.566076330222673,1.8066580347863286,0.3286431155111713,0.08085632329759597,0.3620472118111376,19,13
26301,231780_at,-0.058526781089068614,-0.5399273497630225,0.11516168847495872,0.5932328219320471,0.943025569177355,19,13
26330,207116_s_at,-0.0017868569271257684,-0.1601867609202057,0.011872482900051858,0.8738076928252712,0.9996525187900612,19,13
26333,208509_s_at,-0.0023557077813762817,-0.2627697005011207,0.009291026190320918,0.7945242995012819,0.9971427377867415,19,13
26338,1567285_at,0.09614448370445361,0.6569866291457244,0.14575691112595773,0.5161983829866955,0.9067496848017186,19,13
26339,1567288_at,-0.00028193772874507417,-0.03234529207307967,0.009127401828765494,0.9744109335755229,0.9996525187900612,19,13
26341,1567246_at,0.08299499618623463,0.9310935276925558,0.0925409172210635,0.3592379638725787,0.7971198759712064,19,13
26343,1566276_at,0.020714657744938414,0.7760368613635417,0.022499304018278002,0.4438025672189991,0.8639824026184217,19,13
26353,221667_s_at,0.39706715882186217,1.7776059662715618,0.1953652102916818,0.08560846832178945,0.3749613879270879,19,13
26354,228395_at,0.12170473560728734,0.6690230946937709,0.1694048505400881,0.5085968623392669,0.9014527241224959,19,13
26355,235850_at,-1.1995645852793526,-2.738721343898386,0.3994675430709796,0.0102771177014749,0.09369374296939538,19,13
26468,219884_at,0.18131535144534405,1.2538644913377648,0.11946499193607427,0.21957433213335129,0.6393240286181159,19,13
26469,213521_at,0.29665312131579036,3.5315557615874087,0.07305455478282202,0.0013579665308644845,0.024351203697938896,19,13
26470,238404_x_at,-0.21365425737651877,-1.791608359170367,0.13332201299686997,0.08328921482663666,0.3687282627214615,19,13
26471,209230_s_at,-0.1317500362631563,-0.5680401701454649,0.22549506117739876,0.574235049503159,0.9351930576547485,19,13
26472,212680_x_at,0.7486628664898785,4.845282866281818,0.15170012125728818,3.605006951629641e-05,0.0028878449513635466,19,13
26476,221346_at,-0.003799941198380452,-0.7668060990199954,0.00525202902600254,0.44918943024561714,0.8678578107549152,19,13
26492,1567058_at,0.011651150340080907,0.601929579009911,0.018935001163995945,0.5517434383004871,0.9244650223148484,19,13
26493,1555212_at,-0.0034876660607290333,-0.487488469584446,0.007981700583686831,0.6294557246621579,0.9586040126211123,19,13
26494,1567059_at,0.033536618655870765,0.70535182441473,0.050029482125248416,0.4860324272065652,0.889358305856753,19,13
26495,1567249_at,0.002979055299594968,0.3260500594388518,0.009174094006409799,0.7466500556882787,0.9905382315537988,19,13
26496,1567250_at,-0.04180327290283392,-0.5428576568575298,0.0831738734165224,0.591238546442756,0.9423084172134719,19,13
26497,1567252_at,-0.0313116097570858,-0.4966277325198038,0.07015353470120803,0.6230713079211432,0.9563041787774332,19,13
26499,218644_at,1.0790384998825928,5.430531862757253,0.17578020281232382,6.907538875438417e-06,0.001275911108157417,19,13
26502,219862_s_at,0.19102668733198414,1.3331912047303465,0.13241369970084443,0.19250514864821278,0.5981896955512225,19,13
26503,223441_at,-0.15789224944534652,-1.1129182624984024,0.1372148285228731,0.2745819726047082,0.7111178448645208,19,13
26504,218900_at,-0.7402858315384631,-3.796929989626234,0.16873241679948664,0.000665080383098544,0.015428202617617414,19,13
26505,220739_s_at,0.02248331496356304,0.12720719324760413,0.16876009786489182,0.8996252414922926,0.9996525187900612,19,13
26507,220166_at,0.006182615530364366,0.2767574738719652,0.02149859380834,0.7838642911783171,0.9957799530163929,19,13
26508,226828_s_at,0.13111300743724685,1.1522107535614812,0.09373671351336904,0.2583338074695019,0.6913878322226445,19,13
26509,211864_s_at,0.5538237469635625,1.8840543495685154,0.28589325577407126,0.06928154317534226,0.32719775184519634,19,13
26511,219492_at,-0.35441190277732915,-2.320828932537542,0.1512035663128706,0.027279293770728408,0.17806773960298183,19,13
26512,222239_s_at,0.25447734474089145,1.7471096694464499,0.14684209769101297,0.09084985833407705,0.3879527787365428,19,13
26515,217981_s_at,0.34500674907287365,2.231436188890709,0.16454156470477654,0.033273894394416206,0.2038360322404203,19,13
26517,218188_s_at,0.0440734572550614,0.32184224780953835,0.1322865410553969,0.7498041264668205,0.9909723197887255,19,13
26519,218408_at,0.5549285748785415,3.689858259307737,0.15146045130036803,0.0008885707514865211,0.018458436868360767,19,13
26520,218316_at,0.37669064770040706,2.9254272726416812,0.1356797361667147,0.0064960388348373295,0.06922060481284954,19,13
26521,218357_s_at,0.18254473902833723,1.8283676687404289,0.1077133971396282,0.07745374426780227,0.3523702036977976,19,13
26523,218287_s_at,-0.3361448837368419,-2.680615604875032,0.11951385732096936,0.011822661518847045,0.10296336708234505,19,13
26524,223380_s_at,0.82882295768826,1.909299933554963,0.41072479228869674,0.0658286851377863,0.31632829670491,19,13
26525,222223_s_at,-0.06981942560323873,-0.9752794171242989,0.08501736057449406,0.337220785634838,0.7783128933416606,19,13
26526,233236_at,0.022419613056680276,0.687405458638329,0.02797204696379074,0.4971076177696937,0.8945243469908079,19,13
26528,218443_s_at,0.23224064596356087,2.5762966297380947,0.08542449171318688,0.015152395326343665,0.12083058289450761,19,13
26529,221344_at,-0.05466767177327947,-1.4486843951089639,0.04571171048014299,0.15779826704584202,0.5395473828179439,19,13
26531,221343_at,-0.0018388047004052055,-0.19853384273683441,0.009627697784154262,0.8439667325224006,0.9996525187900612,19,13
26532,208520_at,-0.0006713846032391224,-0.09717763723245404,0.006603237737923222,0.923231661029432,0.9996525187900612,19,13
