gene_id,gene_symbol,log2FC,pvalue,n_datasets,padj
23215,PRRC2C,-0.16109642,0.00020007527389777935,1,0.004020850477338848
23216,TBC1D1,-0.044548605,2.0787990483818888e-05,1,0.0006264083004586848
23217,ZFR2,-0.0005556034,0.4390841412169245,1,0.7990297994927066
23218,NBEAL2,0.21971628,8.392828589971626e-06,1,0.0002976053671248977
23219,FBXO28,0.038302705,0.15042591303683348,1,0.5215619126553304
2322,FLT3,-5.163048e-05,0.1622529742814841,1,0.5404268510797143
23220,DTX4,0.060257994,0.05253006996542942,1,0.27570843760292146
23221,RHOBTB2,-0.28730336,6.425900257468104e-07,1,3.5392223257626195e-05
23223,RRP12,-0.042924635,0.02067204426813459,1,0.14720698762542697
23224,SYNE2,0.18180072,0.005816656671730257,1,0.05830713286972198
23225,NUP210,0.00464803,0.8791627874552888,1,1.0
23228,PLCL2,-0.0052102027,0.006905758883353676,1,0.06635160441404915
23229,ARHGEF9,0.015961505,0.5107309975743497,1,0.8844452730771116
2323,FLT3LG,-0.0040354244,0.448673948700131,1,0.8108486832552549
23230,VPS13A,0.07243985,0.1082859445556714,1,0.43209124687122513
23231,SEL1L3,-0.14869472,0.0010111221162324776,1,0.01488774035514642
23232,TBC1D12,0.020915605,0.3215476155626379,1,0.6591637315128221
23233,EXOC6B,0.035230216,0.0861377246477755,1,0.37685534094103246
23234,DNAJC9,-0.01642038,0.15108971069301239,1,0.5226917022456989
23235,SIK2,0.08780949,0.03137012156931347,1,0.19650615243222147
23236,PLCB1,-0.0014155718,0.29736434578564663,1,0.6591637315128221
23237,ARC,-0.007103246,0.8364675015900144,1,1.0
23239,PHLPP1,-0.0060096327,0.5159815009055754,1,0.8907123731502229
2324,FLT4,-0.0066711647,0.12090242696009655,1,0.4602070012883434
23241,PACS2,-0.004160166,0.7929752565398377,1,1.0
23242,COBL,0.10133444,0.022497529981947453,1,0.15596694662450025
23243,ANKRD28,-0.2948312,1.916065667983222e-05,1,0.0005846716549023746
23244,PDS5A,0.007015556,0.8301316438958513,1,1.0
23245,ASTN2,-0.0026189387,0.56619901994842,1,0.9501711481042621
23246,BOP1,-0.0022369362,0.8769580114062157,1,1.0
23248,RPRD2,-0.045543298,0.09175902399171883,1,0.3911927728038366
23250,ATP11A,-0.20047164,0.004721791875086419,1,0.049768786198469105
23252,OTUD3,-0.030268773,0.0897692050732837,1,0.3862243547321301
23253,ANKRD12,-0.069862396,0.1639650468493643,1,0.5406903886271349
23254,KAZN,0.08827358,6.227378402193066e-05,1,0.0015675122335886858
23255,MTCL1,0.022497809,0.08320479658092399,1,0.3696433541193701
23256,SCFD1,-0.082330376,0.003117745864243827,1,0.036190572237298775
23258,DENND5A,0.016425706,0.4370671978695224,1,0.7966518463112671
23259,DDHD2,0.041953765,0.036894696397858986,1,0.2189217263089171
2326,FMO1,0.0,,1,1.0
23261,CAMTA1,-0.18447912,0.0001066802511544171,1,0.0024330551438831866
23262,PPIP5K2,-0.020964757,0.30824267208555545,1,0.6591637315128221
23263,MCF2L,-0.010693723,0.5656800096505046,1,0.9495202505655886
23264,ZC3H7B,-0.002255693,0.9117633016048985,1,1.0
23265,EXOC7,0.015553385,0.530931416192181,1,0.9090690942163151
23266,ADGRL2,-0.0036428096,0.41033486984086875,1,0.7634953088303733
23268,DNMBP,-0.008623347,0.5984801666298047,1,0.9873057031449948
23269,MGA,-0.028777435,0.0708656042361003,1,0.334242435725709
2327,FMO2,0.629244,1.6637945127567502e-08,1,1.705378669047273e-06
23270,TSPYL4,-0.016927691,0.02918581527946721,1,0.1869943091610132
23271,CAMSAP2,-0.036945395,0.0831085872944851,1,0.36936016234974234
23274,CLEC16A,-0.031875648,0.2654966142505438,1,0.6591637315128221
23275,POFUT2,0.005099386,0.7702078787079825,1,1.0
23276,KLHL18,0.039295435,0.2148713064340918,1,0.6183499644096487
23277,CLUH,-0.07862009,0.0003885273333486821,1,0.0068900231312749366
23279,NUP160,-0.00863459,0.7099192036535404,1,1.0
2328,FMO3,0.00049759005,0.617332289768138,1,1.0
23281,MTUS2,0.0014204669,0.40964016652061963,1,0.7624877215517608
23283,CSTF2T,-0.0013088508,0.9155499942492781,1,1.0
23284,ADGRL3,-2.6907888e-05,0.32818297556982445,1,0.6591637315128221
23286,WWC1,-0.047695335,0.039777782903059465,1,0.23038194938298756
23287,AGTPBP1,0.1424278,7.1651940986763685e-06,1,0.0002599773979074184
23288,IQCE,-0.021347215,0.030649693310463386,1,0.19342336566021595
2329,FMO4,-0.007276116,0.5308321159382112,1,0.9090346633742616
23291,FBXW11,-0.09114231,0.013647296042182294,1,0.10929089506198916
23293,SMG6,-0.0029362813,0.8307234673476965,1,1.0
23294,ANKS1A,0.1529288,8.875926747089341e-06,1,0.00031209277456216916
23295,MGRN1,-0.13542907,0.00017875375585194026,1,0.0036824383402897635
23299,BICD2,0.0035219043,0.8354329423174108,1,1.0
2330,FMO5,-0.51934075,1.409658356126013e-07,1,1.0191003824539138e-05
23300,ATMIN,-0.042124264,0.00041677393598096786,1,0.007299966331298034
23301,EHBP1,0.054780096,0.011820867440047268,1,0.09871422089338834
23302,WSCD1,-0.00039709275,0.09986812961503054,1,0.41232232134786223
23303,KIF13B,-0.022846207,0.42652251902716953,1,0.7837276252304141
23304,UBR2,0.054142892,0.247953972361579,1,0.6591637315128221
23305,ACSL6,0.0004801734,0.4132470150767481,1,0.7672398450902574
23306,NEMP1,0.009270832,0.5416692523481155,1,0.9214914577701294
23307,FKBP15,-0.01917024,0.05871206015369023,1,0.2958710386459249
23308,ICOSLG,0.0022283152,0.5208950751930708,1,0.8971114672172338
23309,SIN3B,0.027210362,0.018620011077595408,1,0.13659132408366803
2331,FMOD,-0.030063957,0.0007514695057653489,1,0.011741913748904046
23310,NCAPD3,-0.0017840937,0.9162983878626554,1,1.0
23312,DMXL2,0.01589235,0.4656885081610067,1,0.830590647144848
23313,KIAA0930,0.024779318,0.4451276835732707,1,0.8064823551188637
23314,SATB2,-0.009775202,0.20346612090697147,1,0.6007209935597042
23315,SLC9A8,-0.0043669306,0.8113742450237875,1,1.0
23316,CUX2,-1.6396536e-05,0.3281828576259116,1,0.6591637315128221
23317,DNAJC13,-0.0287801,0.1394553468709473,1,0.49991010197128255
2332,FMR1,0.0121638775,0.5803355089760895,1,0.9666028234455772
23321,TRIM2,-0.14027816,1.0319920298094783e-05,1,0.0003516898127432027
23322,RPGRIP1L,-0.007936429,0.3697952789224145,1,0.7124839269387201
23324,MAN2B2,0.012181256,0.7040327160075943,1,1.0
23326,USP22,-0.06528613,0.06716535779558754,1,0.3224536394934102
23327,NEDD4L,0.09971863,0.20296423874300895,1,0.5999954679473931
23328,SASH1,-0.005680762,0.7293046279668975,1,1.0
23329,TBC1D30,-0.023988845,0.05306669521687492,1,0.2774097630759667
23331,TTC28,-0.07960918,0.00012039815018586877,1,0.0026776736881047084
23332,CLASP1,0.012257397,0.5031835406678831,1,0.8753884928036708
23333,DPY19L1,0.04548216,0.1876189763208168,1,0.577236750063451
23334,SZT2,-0.01709551,0.4534072873584286,1,0.8166047756625954
23335,WDR7,-0.030388419,0.11687518842556666,1,0.451217885335643
23336,SYNM,-0.00064335816,0.16472890184454192,1,0.5416363228948933
23338,JADE2,-0.03355605,0.005088585286766746,1,0.05263866858146216
23339,VPS39,-0.09809886,4.201678927337198e-05,1,0.0011343393665457257
2334,AFF2,0.0,,1,1.0
23341,DNAJC16,0.022848569,0.44503985392010625,1,0.8064220978773459
23344,ESYT1,-0.035747893,0.07655875444007397,1,0.35050947446639724
23345,SYNE1,-0.4140292,6.09980056634583e-08,1,5.097589891971821e-06
23347,SMCHD1,-0.035891548,0.35611936077014394,1,0.6950122673193574
23348,DOCK9,-0.16907842,1.1724572632505107e-05,1,0.00039020827981528283
23349,PHF24,0.0,,1,1.0
2335,FN1,0.36507386,2.960388705151194e-05,1,0.0008417396546078237
23350,U2SURP,-0.102127746,0.02460960105016792,1,0.1657750018470332
23351,KHNYN,-0.030679205,0.021882674976747212,1,0.1530096576381125
23352,UBR4,-0.016108096,0.6452626171674145,1,1.0
23353,SUN1,0.15722163,0.009664914677313449,1,0.08493955459610124
23354,HAUS5,0.002402911,0.7956802154723477,1,1.0
23355,VPS8,0.0010003299,0.9605595465018228,1,1.0
23357,ANGEL1,-0.02237511,0.00565136396277962,1,0.057030654932044414
23358,USP24,-0.03892501,0.10541321448911982,1,0.4254241019733699
23360,FNBP4,-0.037139118,0.44696010601859915,1,0.808668910323571
23361,ZNF629,0.017407153,0.17496719062332455,1,0.5563581389084913
23362,PSD3,-0.047742322,0.0015749574253102066,1,0.021256186962642854
23363,OBSL1,-0.09446703,2.625923777811135e-05,1,0.0007652170563938324
23365,ARHGEF12,-0.119633555,0.01715633499501225,1,0.12874524378833072
23367,LARP1,-0.08098136,0.0097087739265956,1,0.08519459817782357
23368,PPP1R13B,-0.029175982,0.3418137503762808,1,0.67689969591408
23369,PUM2,-0.118508264,0.0009516795541811458,1,0.014167039823195294
23370,ARHGEF18,0.07031456,0.0043682682614697614,1,0.04700048917589499
23371,TNS2,-0.13607003,2.362349643288905e-06,1,0.0001032613887435867
23373,CRTC1,-0.034731857,0.008407224033472905,1,0.07657007374814796
23376,UFL1,-0.09964397,0.004770325098168797,1,0.05012026537848228
23378,RRP8,-0.03705328,0.0215731304008453,1,0.1515771725967465
23379,ICE1,-0.0076122438,0.6025395360003045,1,0.9918933649221633
23380,SRGAP2,0.037642732,0.034719776382334734,1,0.20999031216903882
23381,SMG5,-0.023330024,0.19968622699760175,1,0.5946978719072246
23382,AHCYL2,-0.38876635,2.615997562899593e-11,1,7.129258928684094e-09
23383,MAU2,0.0056517343,0.7559782834890385,1,1.0
23384,SPECC1L,-0.036962282,0.04449547446695885,1,0.24732751099229036
23385,NCSTN,0.007688284,0.7933608284412409,1,1.0
23386,NUDCD3,-0.072153635,0.006075309737592466,1,0.060297891535366153
23387,SIK3,-0.049748376,0.00750494303811525,1,0.07051777647965723
23389,MED13L,-0.08314636,0.007748548038402961,1,0.07229747972501113
2339,FNTA,0.0028620064,0.9363840798086105,1,1.0
23390,ZDHHC17,0.023469716,0.1897045264088446,1,0.5804021317756983
23394,ADNP,0.01012858,0.7670336933841178,1,1.0
