,pearson,cmap,net_trace,reversal_rank,scrna_rank
avasimibe,-0.04826294110173611,0.15385964912280703,-0.0485462123106772,1417,1287.0
azacitidine,-0.006218973406781114,0.14741228070175433,0.0180880945353107,253,906.0
azathioprine,-0.021305353401386458,0.0,-0.0594801636730114,1554,1038.0
azelaic-acid,0.038050972237716904,0.0,-0.0600684445677335,1558,481.0
azelastine,0.03382312690890593,-0.11039473684210527,-0.0528936821985635,1468,519.0
azithromycin,-0.003917251607258939,0.0,-0.0037288199674917,546,889.0
bafilomycin a1,0.09926703457067133,-0.10302631578947369,0.1028006358958682,9,36.0
baicalin,0.01316542860487279,0.0,-0.0639263374298571,1604,717.0
balaglitazone,-0.03868156960231937,0.1432017543859649,-0.0153169305478563,774,1195.0
balapiravir,0.08815199496047078,-0.15486842105263152,-0.0087122786392164,636,92.0
balicatib,-0.05623820486756901,0.14754385964912278,-0.0548064695587698,1491,1373.0
balsalazide,0.09934957219828382,-0.15684210526315792,0.0025044864956492,432,35.0
bambuterol,0.009697265791483167,-0.09811403508771933,-0.0642142198948937,1607,747.0
barasertib,0.006215680594058701,-0.07219298245614036,-0.0658941100891695,1620,782.0
barasertib-HQPA,0.0012228753625869362,-0.09403508771929828,-0.0577433963626881,1534,838.0
bardoxolone-methyl,0.04331896658896925,-0.08289473684210527,0.0101533876526465,341,434.0
baricitinib,0.007478500619618339,0.0,0.0582027437916066,61,765.0
basimglurant,0.013383167736781845,0.0,-0.0723146465555267,1660,714.0
batimastat,-0.08863071852645098,0.12399122807017543,-0.0615517396924431,1572,1627.0
bavisant,-0.05354541353462668,0.1011842105263158,-0.024802495326549,953,1337.0
bazedoxifene,0.011505939694469119,-0.10868421052631574,0.0174140515527349,260,731.0
beclomethasone-dipropionate,0.05177238354058097,0.0,-0.009777289317696,656,366.0
belinostat,-0.03489548437010226,0.0,0.0425670552698215,102,1162.0
bemegride,0.045799557424047385,-0.10210526315789474,-0.0341979260954761,1153,413.0
benazepril,0.04926619209844385,-0.11736842105263162,-0.0033824960510469,541,388.0
bendamustine,-0.03147722606347104,0.0,-0.0291786556904248,1049,1133.0
bendroflumethiazide,-0.05086198166987551,0.13903508771929826,-0.0239930257969505,937,1315.0
benfluorex,0.06779933013206055,-0.1396491228070176,-0.0194223088437666,851,233.0
benzamil,0.002287029470043964,0.06271929824561406,-0.0005228292522888,496,821.0
benzbromarone,-0.08571762421924177,0.1262719298245614,-0.0021025555421637,524,1608.0
benzotript,-0.010168231241546232,0.0,-0.0332026523558352,1144,943.0
benzthiazide,0.025134120899001015,-0.06162280701754387,-0.0779326479111391,1695,592.0
benzydamine,-0.04128304496630228,0.11307017543859646,-0.0315604040177153,1108,1211.0
benzylpenicillin,-0.017679354182525725,-0.08109649122807017,-0.0289328255087341,1044,1008.0
bepotastine,-0.08150346597222202,0.13486842105263153,-0.0204144756524526,868,1585.0
berberine,0.07528706160048655,-0.14026315789473687,-0.0113151911533069,680,177.0
betahistine,-0.001729705919848224,0.0,-0.0044265559912954,560,867.0
betrixaban,-0.007525817402526082,0.07149122807017547,-0.0471011196579212,1398,919.0
betulinic-acid,-0.09090188018588134,0.18096491228070175,-0.0131676083801316,723,1640.0
bevirimat-dimeglumine,-0.010297147525892659,0.0909210526315789,-0.0253900853142524,964,946.0
bexarotene,-0.06818614440763471,0.14925438596491225,-0.0504836086776479,1443,1482.0
bezafibrate,0.09086662151769236,-0.15859649122807018,-0.0222752781599127,904,72.0
bicalutamide,0.01899921073183737,-0.07916666666666665,-0.0695860096750946,1647,656.0
bifemelane,-0.06705760797639165,0.14021929824561408,0.0021291993674998,439,1471.0
bifonazole,-0.06896393638318322,0.1105263157894737,-0.0633118543935287,1595,1492.0
bimatoprost,0.04084779511264465,-0.08951754385964913,-0.0291932763534894,1050,452.0
bindarit,-0.0503494077511211,0.11535087719298245,-0.0610484644853267,1565,1309.0
binimetinib,-0.0811952606072689,0.0,0.0394566159410294,116,1581.0
biperiden,0.0038109498976027045,-0.1313157894736842,-0.0086342080834311,634,803.0
birinapant,0.020028143327895858,-0.05912280701754387,-0.0017107807243359,517,640.0
bisindolylmaleimide,0.07793622064112014,-0.13640350877192983,0.0375886650799343,126,151.0
bisoprolol,0.05676279005984372,-0.16570175438596485,-0.0243446427907638,943,328.0
bitopertin,0.08780553032692572,-0.11561403508771934,0.0045013519878303,408,94.0
blonanserin,0.050501843367992516,-0.10210526315789471,-0.0659601996879955,1622,378.0
bms-906024,0.037686448326322716,-0.10877192982456141,-0.0109254502933312,674,484.0
bopindolol,0.02315117247944646,-0.0668421052631579,0.0109332859489819,332,604.0
bortezomib,0.0004365053675187249,0.09793859649122805,0.0356959849723289,134,844.0
