,pearson,cmap
SB-939,-0.047093493537996724,0.07912280701754387
SC-12267,0.019624743399174263,0.0
SCH-28080,0.017624454823961876,0.0
SDZ-NKT-343,0.0389378715666146,-0.1400877192982456
SEP-227900,-0.0762873167680838,0.1324122807017544
SGI-1776,0.0778752866144236,-0.14092105263157892
SGX523,0.027595356099530566,-0.09241228070175436
SK&F-10047-(+),-0.06855073116830696,0.10574561403508773
SN-38,-0.03098414810812561,0.08298245614035088
SNX-2112,-0.06980429933332155,0.16206140350877193
SR-2640,-0.058767655809027305,0.14802631578947367
SR-27897,0.04340112212053056,-0.11548245614035088
SR-33805,0.06585058796304358,-0.16517543859649125
SR-57227A,0.08594711245628316,-0.12916666666666662
ST-1859,-0.08447205735974884,0.13855263157894737
STA-5326,0.054515533499193324,0.0
SU-014813,0.07203155100084355,-0.1362280701754386
SU-11274,0.013678560041087444,-0.07122807017543858
SU-11652,-0.03792914692265429,0.07311403508771927
SYK-inhibitor,0.08902104641119161,-0.14166666666666666
T-5224,0.07115409769643746,-0.11644736842105266
TAK-285,-0.06091168448408439,0.17929824561403507
TAK-715,-0.005264479722701231,0.0
TAK-733,-0.09781305770703792,0.13412280701754387
TAK-875,0.07169350058254555,-0.12684210526315787
TAS-103,-0.0703769525402412,0.12978070175438594
TG-100115,0.01591660348035671,-0.05745614035087719
TG-100801,0.1266569717847658,-0.11592105263157897
TG-101348,0.09825940451815406,-0.13570175438596493
TGX-221,0.0063718399689450715,0.0
TH-302,0.059000330207186986,-0.1610526315789474
THZ-2-98-01,0.07680744497405863,-0.12000000000000002
TIC10,0.0978147760439449,-0.14618421052631575
TPCA-1,-0.06163624790102365,0.09456140350877193
TTNPB,0.013570294523510695,-0.06671052631578946
TWS-119,0.049721000434654584,0.0
UK-383367,-0.0017820466506857455,0.0
UNC-0321,0.06260248154793796,-0.09026315789473682
UNC-0638,0.07140417008409053,-0.12451754385964911
UNC-1215,0.019207616307559627,0.0
UNC-669,0.06302880698708037,-0.12109649122807017
VE-821,0.11118688147321015,-0.14960526315789474
VE-822,0.03448582432214757,-0.12017543859649121
VGX-1027,-0.0022307764099880325,0.0
VP-20629,-0.08308638530625358,0.18219298245614035
VT-464,0.019642024896533255,-0.09850877192982456
VTP-27999,0.048501771211273435,-0.12285087719298246
VX-222,0.08662698159908659,-0.11403508771929827
VX-661,0.05093849863152155,0.0
VX-745,-0.05000752137252095,0.0
VX-765,-0.05019772300188064,0.07451754385964912
WAY-362450,-0.010579360497161997,0.0
WH-4-025,0.06124125159351858,0.0
WYE-125132,-0.0810506383570023,0.15679824561403505
WZ-3105,-0.06522321852445197,0.0
WZ-4-145,-0.09980035108601272,0.0
WZ-4002,-0.0872455413480155,0.10478070175438597
WZ-7043,0.06454548869806795,-0.15627192982456142
XBD-173,-0.10067928210114839,0.18096491228070172
XL-147,-0.059619276108412236,0.0
XL-888,-0.09251159172982602,0.1762719298245614
XMD-1150,0.10732266994014542,-0.1455263157894737
XMD-1499,-0.016131838465836625,0.0
XMD-16144,0.07707889000920441,-0.125219298245614
XMD-885,0.03481831433480404,-0.07030701754385965
XMD-892,0.04686984822144637,-0.09298245614035089
XMD11-85H,0.07738074998798598,-0.10285087719298248
Y-26763,0.0815756864108374,-0.15811403508771932
Y-27152,0.055581178242184566,-0.1422368421052631
Y-27632,0.06449565411709243,0.0
Y-39983,0.07412362721400395,0.0
YM-155,-0.036588942844357736,0.1226315789473684
YM-201636,0.05621580459791614,-0.09732456140350881
YM-976,0.06032743759529494,0.0
Z160,0.059298269639916155,-0.08995614035087715
ZD-7114,-0.06921352970333879,0.13478070175438597
ZD-7288,-0.04726962980496524,0.1175
ZK-200775,-0.040705961337796095,0.0
ZK-811752,-0.002762248969428117,-0.0675438596491228
ZK-93423,0.059102731424212046,-0.12425438596491231
ZK-93426,0.018651705351173345,-0.1006140350877193
ZM-447439,0.01882910761438503,-0.10486842105263158
ZSTK-474,-0.06954514952676086,0.15662280701754389
abacavir,-0.0752059093960572,0.17285087719298248
abiraterone-acetate,-0.006703169809531022,0.0
acarbose,-0.001143858532676388,0.050219298245614
acebutolol,0.06944419830162257,-0.10793859649122803
acecainide,0.062066766396878935,-0.11013157894736839
acenocoumarol,-0.05967613995275556,0.13184210526315793
acetazolamide,-0.0028374352695338667,-0.0731140350877193
acetylcysteine,-0.02870157796211347,0.0724561403508772
acexamic-acid,0.09734503953060981,-0.1737719298245614
acifran,-0.0027634450341949327,0.0
acipimox,-0.10094175047432058,0.18478070175438593
acivicin,-0.04875808301110202,0.14214912280701764
aclidinium,-0.08992834064692787,0.16728070175438597
acrivastine,-0.07376301602818418,0.12372807017543858
