,rwr_up,rwr_down,rwr_net
100529144,2.810789554099533e-06,8.617174223299194e-07,1.9490721317696136e-06
100529239,2.1864272274321534e-06,8.652433492956665e-05,-8.43379077021345e-05
100529241,1.6656602789617865e-07,6.592114351765842e-07,-4.926454072804055e-07
100529257,1.844232919260619e-05,1.2059141234866974e-06,1.7236415069119492e-05
100529261,1.1753003212017648e-07,1.4296543820401417e-06,-1.3121243499199653e-06
10053,1.3663637311860086e-05,0.00013930353124644627,-0.00012563989393458617
100532726,6.900582045775903e-07,2.7280583043225143e-05,-2.6590524838647553e-05
100532731,2.6318643380030813e-06,1.0314192778384654e-05,-7.682328440381573e-06
100533181,3.709089111046813e-06,9.267711428172454e-06,-5.55862231712564e-06
100533467,3.96171196902485e-07,1.9412637053958967e-06,-1.5450925084934117e-06
100533496,1.689876373808633e-07,7.317570239149828e-07,-5.627693865341194e-07
100534599,7.835897543308306e-07,9.78519269875291e-06,-9.001602944422079e-06
10054,6.779806789742585e-06,0.00011630849303946423,-0.00010952868624972165
10055,5.9530802797452195e-06,0.0001046653071995704,-9.871222691982519e-05
10056,3.074231634379592e-07,2.0592006361351697e-05,-2.028458319791374e-05
10057,0.00022730634491520567,1.1783472003104818e-07,0.00022718851019517462
10058,2.0060062780644467e-05,5.856468215841531e-06,1.4203594564802936e-05
10059,1.1558508516638014e-05,8.25402372906711e-05,-7.098172877403308e-05
1006,5.817893818763865e-06,6.150913141096746e-07,5.202802504654191e-06
10060,8.453614296527022e-06,0.00012778053018751704,-0.00011932691589099002
10061,8.460931542634799e-08,4.7537232591129613e-05,-4.7452623275703265e-05
10062,9.416220314833564e-06,8.171880395406327e-05,-7.23025836392297e-05
10063,3.163153238680776e-06,0.0002656640427993304,-0.0002625008895606496
100652748,3.6122742527218075e-06,2.3316215579863346e-05,-1.9703941327141538e-05
100652824,8.342879393713174e-07,8.358465708863322e-06,-7.524177769492005e-06
10066,0.0006611253826372882,1.3014466347737422e-05,0.0006481109162895508
10067,1.2628266238447112e-07,7.448586041896103e-05,-7.435957775657656e-05
10068,7.261476423194921e-05,1.4390861524596971e-07,7.247085561670325e-05
10069,9.09828132572435e-08,4.0634757812794956e-05,-4.054377499953771e-05
1007,3.353170250704202e-05,6.00210431266505e-07,3.293149207577552e-05
10071,8.494367638964638e-06,5.5647292733350134e-06,2.929638365629624e-06
10072,1.2898888009125253e-07,5.632144061423931e-05,-5.619245173414806e-05
10073,7.229986224389843e-06,3.37150113081448e-05,-2.648502508375496e-05
10075,1.8881916437644443e-06,5.3937570578753904e-05,-5.204937893498946e-05
10076,7.624884977680599e-07,2.26638688522187e-06,-1.50389838745381e-06
10077,2.9655467660328302e-05,1.097307627102324e-05,1.868239138930506e-05
10078,4.364132521477806e-06,7.658674336313937e-05,-7.222261084166157e-05
1008,3.793136612187932e-05,5.916489063409605e-07,3.733971721553836e-05
10081,1.3135230663088357e-06,7.556534553217119e-05,-7.425182246586236e-05
10082,0.0001756301912727446,1.2502332925514366e-06,0.00017437995798019317
100820829,7.416061137921452e-05,3.601126395456601e-07,7.380049873966886e-05
10083,3.7994224871967572e-06,3.5098665678793943e-06,2.8955591931736294e-07
10084,2.980081050880292e-07,0.00017501315039266665,-0.00017471514228757862
10085,7.925516964718334e-08,5.060249719907433e-06,-4.980994550260249e-06
10086,9.29953150608434e-09,7.325872873272879e-08,-6.395919722664445e-08
100861412,2.306335818469633e-05,8.548442039050724e-07,2.2208513980791255e-05
100885848,0.0,8.241630544272777e-06,-8.241630544272777e-06
100885850,1.7881738177110854e-08,6.984266799798799e-07,-6.80544941802769e-07
10089,8.567324346890542e-08,2.578180892272965e-06,-2.4925076488040596e-06
1009,6.154508052004074e-06,4.661676968250071e-06,1.492831083754003e-06
10090,1.8718430184773858e-07,3.792577269944116e-05,-3.773858839759342e-05
10092,0.00035771071109943765,1.3166538302719842e-05,0.0003445441727967178
10093,1.0037470280349592e-05,0.00010836268280181341,-9.832521252146382e-05
10094,1.6167342429587188e-05,0.00027165754086220774,-0.0002554901984326206
10095,1.2859399626344344e-05,0.0002032422235340532,-0.00019038282390770886
10096,2.355003544325806e-05,7.280685867798898e-05,-4.925682323473092e-05
10097,4.182516342246343e-05,0.00013032781091802838,-8.850264749556495e-05
10098,0.00028391140235213617,6.007413392757528e-07,0.00028331066101286044
10099,1.0056848766635535e-06,0.0005222674199800752,-0.0005212617351034117
100996939,5.594120572392294e-07,0.00030517036548064413,-0.0003046109534234049
101,6.3246370097657006e-09,2.818945617770416e-06,-2.8126209807606503e-06
1010,2.876247976415794e-06,4.622463776867991e-07,2.414001598728995e-06
10100,1.803343862654737e-07,1.8998381244020482e-06,-1.7195037381365746e-06
10101,1.9745306311129478e-06,6.855654486522255e-05,-6.65820142341096e-05
10102,1.2932029589186603e-06,9.530091367202165e-05,-9.400771071310299e-05
10103,8.573363056980878e-05,2.362754364700954e-05,6.210608692279924e-05
10105,6.983379875047977e-06,8.799978349222074e-05,-8.101640361717276e-05
10106,1.1004850694157061e-05,0.00014147255209411447,-0.00013046770139995742
10107,3.051540342565653e-07,6.973898121727575e-08,2.3541505303928954e-07
10109,2.0579758213333028e-05,0.0005662368896948196,-0.0005456571314814866
10110,2.3707503010307854e-07,5.004166632330333e-06,-4.767091602227254e-06
10111,3.4859412935687916e-06,3.985787061688818e-05,-3.637192932331939e-05
