drug,pearson,cmap
BIX-01338,-0.01085389393365966,0.0
BIX-02189,-0.01098204333889966,0.0
BMS-299897,-0.011278155173420748,0.0
BMS-345541,-0.11414437427798269,0.1431485066398287
BMS-387032,-0.02765494432679372,0.0
BMS-509744,0.0021117062810613882,0.0
BMS-599626,0.007778270633151401,0.0
BMS-707035,0.0021507052167105438,0.0
BMS-777607,0.02822487874114242,0.0
BMS-927711,0.03997457541249865,-0.12293429667136183
BMY-14802,0.049827822654219665,0.0
BRD-K68548958,-0.04892258125335409,0.0
BRD-K73261812,-0.00793271337279538,0.0
BS-181,-0.08849292573098472,0.11526810292600292
BTS-54505,-0.018233780698123387,-0.07059631541926277
BVD-523,0.0976283198254456,-0.09549395961527662
BX-795,-0.06527769792343013,0.11988056025385876
BX-912,-0.09035163477833326,0.13755905614064692
CB-10-277-(free-acid),-0.005701252053715176,0.0
CC-401,-0.04687155570695416,-0.06648192335467895
CC-930,0.05643972543317474,-0.09107895305117833
CEP-32496,0.03268649306004908,-0.06770237254986457
CEP-37440,0.02943628532483636,0.0
CG-930,0.032889054467369866,0.0
CGK-733,-0.028070812266947905,0.0
CGP-12177,-0.007307481007641826,0.0
CGP-60474,-0.027965194117293625,0.0
CGS-20625,0.007847118653279304,-0.07008289569184631
CHIR-99021,-0.07370663478782087,0.0
CI-966,0.0024635374802716493,-0.08982089387427616
CI-976,0.002328476171133622,-0.05416084137513495
CL-218872,-0.09617788292805476,0.07732592565725316
CNQX,0.0032623051873094866,0.08888541954254994
CO-102862,0.016163108373692222,0.0
CP-466722,-0.0730406210314192,0.0
CP-724714,-0.05139232640491779,0.0
CP-945598,0.010260936539077163,0.0
CPI-1189,0.006266205754891526,0.0
CPI-613,-0.0527217665322702,0.08262297840672864
CT-7758,0.04445126993968627,0.0
CTB,-0.02307477838400949,0.0
CTS-1027,0.02820454852436795,0.0
CX-4945,-0.05659559237737001,0.08779640239651287
CX-516,0.024180524035618222,0.0
CX-5461,0.059849197921549704,-0.07487245607404444
CYT-997,-0.10869920157997354,0.1789791334688024
CYT387,-0.0012407020799207983,0.06385538559611442
D-4476,0.05278031967256252,-0.12147700512315288
D-serine,0.053492575709797846,-0.12681405391668552
DMP-543,-0.0033627877015955797,-0.08035740547618125
DMP-777,0.029925615501122178,-0.10114082128788321
DPCPX,-0.07430176963099747,0.10128262837715574
DPI-201106,-0.06460254414542403,0.09244269918307779
DU-728,-0.003825683306186482,0.0
E-2012,-0.047437688721123784,0.0
EMD-1214063,0.0437320176577401,0.0
EMD-53998,-0.010002729591125014,0.0
ENMD-2076,0.10560029482206433,-0.1368440759117639
EPZ-005687,0.010505621231049709,0.0
EVP-6124,0.017897741069867336,0.0
EX-527,0.0716965089110883,-0.17510486109323714
FK-866,-0.07458801019311635,0.08675983779793764
FK-888,-0.028976159305855544,0.0
FPL-55712,-0.012882260188714058,0.0
FPL-62064,-0.02600215300973527,0.0
FR-180204,0.0024127527135704347,0.0
GDC-0068,0.01887932748054836,-0.08190629587733911
GDC-0152,-0.10674273036546396,0.10208853613592209
GDC-0834,-0.0662054921343261,0.09573798140657076
GDC-0879,-0.023595504597379063,0.0
GDC-0941,0.08584896825759206,0.0
GDC-0980,0.056833739908706174,0.0
GNF-2,-0.02981904688682279,0.0
GSK-1059615,0.020362612993594136,-0.10367346768894546
GSK-1070916,0.046972422236309916,0.0
GSK-1292263,-0.01945257971018267,0.0
GSK-1904529A,-0.0006236703839009243,-0.09115421657903844
GSK-2110183,0.056437289021165404,0.0
