drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap,uc_pearson,uc_cmap
JTE-907,0.009792445904931588,-0.10285995070496397,-0.0845947670016917,0.0,-0.03627841795288968,0.09265377698167837
JW-7-24-1,0.02038260389882414,0.0,0.04180929675412447,0.0,-0.036248670858897006,0.0
JW55,-0.04470541192692909,0.1455793661686548,-0.009558690347474785,0.0,0.028705669723308458,0.0
JWE-035,0.009858800254052252,0.0,0.048152390679058577,0.0,0.0004958129458754406,0.0
KBG,-0.032224507991265805,0.13739454965556652,0.02191323056182108,0.0,-0.015064177372188672,-0.10782335989742127
KD-023,0.01677987585300492,0.0,0.02319376274135319,-0.2143607773013971,-0.044806346917130244,0.0
KD-025,0.026773990534127205,0.0,0.027605853181038725,-0.23144141932056733,0.004026002248957181,-0.09337551642758846
KI-20227,-0.050175661927130154,0.1307213606515428,0.023768727926594936,-0.21742683755957992,0.0921093247281699,-0.13608894513461994
KIN001-043,-0.051450611725210434,0.11897251172087775,-0.00212243536044115,0.0,-0.05430627960904839,0.0
KIN001-055,-0.001071210801409047,-0.07610505123272786,0.05375562075456022,-0.23639341019858492,0.04530389522506777,-0.08565321258921811
KIN001-127,0.0028192865759221523,0.0,0.05953265229703884,-0.216785353962697,0.05150803342937721,-0.09648741807508021
KIN001-242,-0.06701986018439689,0.0,-0.021055009042496752,-0.23493804979384803,-0.04801538008614249,0.0
KIN001-244,-0.04599116850269425,0.09604852963762572,0.018724612962394582,-0.21610267307347675,-0.05899396761430923,0.0
KIN001-260,-0.026423486110712695,0.06737668512173751,-0.07716096658669369,0.23631410952792584,-0.002034869116754029,0.0
KIN001-266,0.025244489324193865,-0.10917772437975456,-0.025255752205824347,0.0,-0.06332857899193745,0.07716620812517233
KIN001-269,-0.056307510956931706,0.12299308071772391,-0.06325721923633697,0.0,-0.005569984763817282,-0.08598794114182574
KIN001-270,-0.04485127028217639,0.0,-0.024591303892770852,0.0,-0.029872193793223593,0.0
KN-62,0.0645654617511351,-0.10506331748591996,-0.0024450103050216087,0.3095409183091007,-0.059311329289075995,0.10340305872681585
KN-93,-0.038608275819682555,0.08514649824477158,0.08380848610840508,0.0,0.09002585284975928,-0.13709540709880136
KU-55933,0.01885914994050475,0.0,-0.0033248717343041744,0.0,0.00025019475949728047,-0.0966992714554937
KU-60019,0.034535459416977936,-0.07363652669277387,0.020813753110863496,0.0,0.04188702421469265,-0.13452062849526442
KW-2449,-0.01070950646691853,0.0,0.061548292071316756,-0.2013056600495611,0.04682192035122074,0.0
KW-2478,0.06252365193454837,-0.12095985031797257,0.018335250529982035,0.0,0.07000022078764742,-0.11545209130229436
KX2-391,0.007088010431933017,0.055950185116854075,0.05506192443234664,0.0,-0.07335332485410463,0.1703588967871311
L-655240,0.005430653316264639,0.0,-0.0369393246275217,0.0,0.02739373994831707,0.0
L-690330,0.0044590020217699115,0.0,-0.08438437643947817,0.0,-0.01396057951540023,0.0
L-NAME,-0.005110961093989462,-0.07704028316795233,-0.018657828752522115,0.0,0.07462887954618139,-0.0927772776473999
L-citrulline,-0.024112704189990695,0.0,0.024154354682689776,-0.3259111329784874,-0.0005470166934040982,0.0
L-ergothioneine,-0.0057402723834517255,0.06630932806435698,0.04985390413927091,0.20427089004435833,-0.010339331445985582,0.08138260044917112
LCL-161,0.0012454381610714925,0.11812600182055424,0.011775286998449248,0.0,-0.13864003946632145,0.17459059768690133
LCQ-908,0.035674625710366524,-0.12710017304794097,0.03225065633269458,-0.1753764339673436,-0.02983161872145677,0.0
LDN-193189,-0.05362402040894863,0.11992268605303927,-0.006306856493428165,-0.3025362673706888,-0.15922491541978023,0.1800144889073689
LGX-818,-0.023488570503710664,0.08368860305292133,0.00947435239341567,0.1963330525751489,0.0775954097365096,0.0
LX-1031,-0.04381577000143569,0.15355705202357434,-0.029639558712990777,0.0,0.009411698814100514,-0.06620146375642155
LXR-623,0.021654621037573887,-0.08512849102537101,-0.025984658258166357,0.0,-0.011047118069131109,0.06164807020933612
LY-2090314,-0.038592774238259624,0.11990418281798834,-0.007112534841956,0.0,-0.026744966743446175,0.0
LY-215490,-0.033078948639268614,0.0889437461009043,-0.059770692426121264,0.0,-0.009183414015000271,0.0
LY-2157299,0.04031512117961954,-0.12436234019677242,-0.017998131187125375,0.0,-0.042076946245795166,0.0
LY-2228820,0.04073117427535175,-0.08343759070858651,0.019437216036586078,0.3066158959707235,0.022501298682610697,0.0
