drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap
GSK-256066,-0.054383237444518166,0.0,0.022859199332338074,0.0
GSK-2636771,-0.004519728272514529,0.0,-0.019400509314990887,-0.2213332270278541
GSK-3-inhibitor-II,-0.09876840621547944,0.13483509771165386,0.012313782170626827,0.0
GSK-429286A,0.03661583392632634,-0.09207868679829623,0.023630442259134885,-0.2680958617257362
GSK-461364,0.01809222037733577,-0.07892769258946689,0.04199679162048641,0.0
GSK-690693,-0.0034507545214491884,0.0,0.011814477145290532,-0.330038703213709
GSK-923295,-0.021362068004331575,0.0,-0.010762879798722015,-0.3893992834628379
GSK-J1,-0.08242255692151881,0.13403539095285233,0.0009560746317730013,0.0
GSK-J2,-0.0077417362201761646,0.09615216469839508,0.04666427518041461,0.0
GSK-J4,-0.026041011866488575,0.09989967211394946,-0.010582458675142157,-0.21832765549089792
GW-5074,-0.08444593405040283,0.0,0.02773310747743827,0.0
GW-842166,-0.05754515778448762,0.12818972928593642,0.01971964407309871,0.0
GW-843682X,-0.05674326040031682,0.11405843406866348,0.038570070399394106,-0.25396325926364627
Gossypetin,-0.0557824828226047,0.0,0.004330834848830922,0.0
HC-030031,-0.07065419769827297,0.1115103318134809,0.009938517419447644,0.0
HG-14-10-04,0.05182110011074993,-0.1030977807064839,0.010237223920517307,0.0
HG-5-113-01,0.011643864000164235,0.0,-0.009932244981540363,-0.2631408971681782
HG-5-88-01,-0.016574723763099264,0.0,0.03607310143419437,-0.33905521505786423
HG-6-64-01,0.03429284794107812,-0.09399211382913461,-0.03355105284354695,0.0
HG-9-91-01,-0.049607210754508475,0.1457002729293365,-0.003966901376460603,0.0
HMN-214,-0.03377286334407601,0.08438154913954252,0.045610453449876,-0.2456104600936551
I-BET-151,0.07462616424348549,-0.14964359204791447,0.029849390092537446,0.0
I-BET-762,0.0784346868311596,-0.14967872511756128,0.04410061627407057,0.0
IB-MECA,-0.04759725213643748,0.10668173691306343,0.026786104028171474,0.2261495457645697
ICI-162846,-0.03210169802344579,0.08802535095873931,-0.08592792608493774,0.0
